Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
2_H,,(ok),"handschriftendatierung_iv.xml:323, handschriftendatierung_v.xml:36, handschriftendatierung_v.xml:56, handschriftendatierung_v.xml:76, handschriftendatierung_v.xml:742, handschriftendatierung_v.xml:1751, handschriftendatierung_v.xml:1892, handschriftendatierung_v.xml:1923, handschriftendatierung_v.xml:2047, handschriftendatierung_v.xml:2094, wa/15_2/I.xml:8, wa/15_2/I.xml:13, wa/15_2/I.xml:19, wa/15_2/I.xml:23, wa/15_2/I.xml:30, wa/15_2/I.xml:35, wa/15_2/I.xml:57, wa/15_2/I.xml:63, wa/15_2/I.xml:67, wa/15_2/I.xml:78, wa/15_2/I.xml:93, wa/15_2/I.xml:98, wa/15_2/I.xml:133, wa/15_2/I.xml:141, wa/15_2/I.xml:152, wa/15_2/I.xml:164, wa/15_2/I.xml:174, wa/15_2/I.xml:179, wa/15_2/I.xml:189, wa/15_2/I.xml:194, wa/15_2/I.xml:205, wa/15_2/I.xml:210, wa/15_2/I.xml:223, wa/15_2/I.xml:229, wa/15_2/I.xml:240, wa/15_2/I.xml:248, wa/15_2/I.xml:273, wa/15_2/I.xml:278, wa/15_2/I.xml:285, wa/15_2/I.xml:310, wa/15_2/I.xml:317, wa/15_2/I.xml:330, wa/15_2/I.xml:341, wa/15_2/I.xml:361, wa/15_2/I.xml:381, wa/15_2/I.xml:392, wa/15_2/I.xml:398, wa/15_2/I.xml:408, wa/15_2/I.xml:419, wa/15_2/V.xml:7, wa/15_2/V.xml:14, wa/15_2/V.xml:19, wa/15_2/V.xml:26, wa/15_2/V.xml:32, wa/15_2/V.xml:51, wa/15_2/V.xml:87, wa/15_2/V.xml:94, wa/15_2/V.xml:105, wa/15_2/V.xml:116, wa/15_2/V.xml:128, wa/15_2/V.xml:135, wa/15_2/V.xml:143, wa/15_2/V.xml:148, wa/15_2/V.xml:176, wa/15_2/V.xml:209, wa/15_2/V.xml:225, wa/15_2/V.xml:238, wa/15_2/V.xml:243, wa/15_2/V.xml:248, wa/15_2/V.xml:259, wa/15_2/V.xml:265, wa/15_2/V.xml:289, wa/15_2/V.xml:299, wa/15_2/V.xml:305, wa/15_2/V.xml:310, wa/15_2/V.xml:315"
2_III_H.1,,(ok),"fischer-lamberg/III.xml:8, fischer-lamberg/III.xml:34, fischer-lamberg/III.xml:52, fischer-lamberg/III.xml:63, fischer-lamberg/III.xml:79, fischer-lamberg/III.xml:94, fischer-lamberg/III.xml:107, fischer-lamberg/III.xml:117, fischer-lamberg/III.xml:126, fischer-lamberg/III.xml:136, fischer-lamberg/III.xml:144, fischer-lamberg/III.xml:154, fischer-lamberg/III.xml:164, fischer-lamberg/III.xml:175, fischer-lamberg/III.xml:186, fischer-lamberg/III.xml:196, fischer-lamberg/III.xml:206, fischer-lamberg/III.xml:216, fischer-lamberg/III.xml:226, fischer-lamberg/III.xml:234, fischer-lamberg/III.xml:243, fischer-lamberg/III.xml:252, fischer-lamberg/III.xml:265, fischer-lamberg/III.xml:277, fischer-lamberg/III.xml:288, fischer-lamberg/III.xml:301, fischer-lamberg/III.xml:314, fischer-lamberg/III.xml:327, fischer-lamberg/III.xml:337, fischer-lamberg/III.xml:351, fischer-lamberg/III.xml:364, fischer-lamberg/III.xml:375, fischer-lamberg/III.xml:388, fischer-lamberg/III.xml:399, fischer-lamberg/III.xml:412, fischer-lamberg/III.xml:422, fischer-lamberg/III.xml:434, fischer-lamberg/III.xml:446, fischer-lamberg/III.xml:457, fischer-lamberg/III.xml:467, fischer-lamberg/III.xml:469, fischer-lamberg/III.xml:484, fischer-lamberg/III.xml:493, fischer-lamberg/III.xml:505, fischer-lamberg/III.xml:517, fischer-lamberg/III.xml:530, fischer-lamberg/III.xml:544, fischer-lamberg/III.xml:588, fischer-lamberg/III.xml:614, fischer-lamberg/III.xml:628, fischer-lamberg/III.xml:641, fischer-lamberg/III.xml:648, fischer-lamberg/III.xml:660, fischer-lamberg/III.xml:671, fischer-lamberg/III.xml:685, fischer-lamberg/III.xml:692, fischer-lamberg/III.xml:703, fischer-lamberg/III.xml:714, fischer-lamberg/III.xml:723, fischer-lamberg/III.xml:733, fischer-lamberg/III.xml:744, fischer-lamberg/III.xml:759, fischer-lamberg/III.xml:780, fischer-lamberg/III.xml:1511, fischer-lamberg/III.xml:1516, handschriftendatierung_iii.xml:7, handschriftendatierung_iii.xml:13, handschriftendatierung_iii.xml:22, handschriftendatierung_iii.xml:40, handschriftendatierung_iii.xml:139, handschriftendatierung_iii.xml:191, handschriftendatierung_iii.xml:322, handschriftendatierung_iii.xml:346, handschriftendatierung_iii.xml:359, handschriftendatierung_iii.xml:400, handschriftendatierung_iii.xml:421, handschriftendatierung_iii.xml:629, handschriftendatierung_iii.xml:714, handschriftendatierung_iii.xml:758, handschriftendatierung_iii.xml:981, wa/15_2/III.xml:8, wa/15_2/III.xml:17, wa/15_2/III.xml:38, wa/15_2/III.xml:45, wa/15_2/III.xml:63, wa/15_2/III.xml:69, wa/15_2/III.xml:76, wa/15_2/III.xml:90, wa/15_2/III.xml:96, wa/15_2/III.xml:118, wa/15_2/III.xml:127, wa/15_2/III.xml:148, wa/15_2/III.xml:159, wa/15_2/III.xml:167, wa/15_2/III.xml:172, wa/15_2/III.xml:188, wa/15_2/III.xml:201, wa/15_2/III.xml:206, wa/15_2/III.xml:219, wa/15_2/III.xml:233, wa/15_2/III.xml:238, wa/15_2/III.xml:250, wa/15_2/III.xml:263, wa/15_2/III.xml:269, wa/15_2/III.xml:283, wa/15_2/III.xml:289, wa/15_2/III.xml:295, wa/15_2/III.xml:302, wa/15_2/III.xml:322, wa/15_2/III.xml:327, wa/15_2/III.xml:336, wa/15_2/III.xml:344, wa/15_2/III.xml:352, wa/15_2/III.xml:361, wa/15_2/III.xml:377, wa/15_2/III.xml:385, wa/15_2/III.xml:392, wa/15_2/III.xml:398, wa/15_2/III.xml:405, wa/15_2/III.xml:416, wa/15_2/III.xml:429"
2_III_H.10,,(ok),"fischer-lamberg/III.xml:153, fischer-lamberg/III.xml:163, fischer-lamberg/III.xml:174, fischer-lamberg/III.xml:185, fischer-lamberg/III.xml:195, fischer-lamberg/III.xml:205, handschriftendatierung_iii.xml:331, handschriftendatierung_iii.xml:339, handschriftendatierung_iii.xml:345, wa/15_2/III.xml:62, wa/15_2/III.xml:68"
2_III_H.11,,(ok),"fischer-lamberg/III.xml:215, fischer-lamberg/III.xml:225, fischer-lamberg/III.xml:233, handschriftendatierung_iii.xml:353, handschriftendatierung_iii.xml:358, wa/15_2/III.xml:75, wa/15_2/III.xml:85"
2_III_H.12,,(ok),"fischer-lamberg/III.xml:223, handschriftendatierung_iii.xml:369, handschriftendatierung_iii.xml:377, handschriftendatierung_iii.xml:385, handschriftendatierung_iii.xml:1375"
2_III_H.13,,(ok),"fischer-lamberg/III.xml:242, fischer-lamberg/III.xml:250, fischer-lamberg/III.xml:259, handschriftendatierung_iii.xml:393, handschriftendatierung_iii.xml:399, handschriftendatierung_iii.xml:413, handschriftendatierung_iii.xml:470, handschriftendatierung_iii.xml:1270, wa/15_2/III.xml:84, wa/15_2/III.xml:89, wa/15_2/III.xml:95, wa/15_2/III.xml:101"
2_III_H.14,,(ok),"fischer-lamberg/III.xml:251, fischer-lamberg/III.xml:260, fischer-lamberg/III.xml:322, handschriftendatierung_iii.xml:162, handschriftendatierung_iii.xml:407, handschriftendatierung_iii.xml:414, handschriftendatierung_iii.xml:420, handschriftendatierung_iii.xml:476, handschriftendatierung_iii.xml:1276, wa/15_2/III.xml:102"
2_III_H.15,,(ok),"fischer-lamberg/III.xml:383, fischer-lamberg/III.xml:1585, handschriftendatierung_iii.xml:428, handschriftendatierung_iii.xml:434, handschriftendatierung_iii.xml:441, handschriftendatierung_iii.xml:449, handschriftendatierung_iii.xml:482, handschriftendatierung_iii.xml:1282, wa/15_2/III.xml:103, wa/15_2/III.xml:123, wa/15_2/III.xml:139, wa/15_2/III.xml:145, wa/15_2/III.xml:211"
2_III_H.16,,(ok),"fischer-lamberg/III.xml:263, fischer-lamberg/III.xml:275, handschriftendatierung_iii.xml:435, handschriftendatierung_iii.xml:450, handschriftendatierung_iii.xml:456, handschriftendatierung_iii.xml:488, handschriftendatierung_iii.xml:1288, wa/15_2/III.xml:105, wa/15_2/III.xml:110, wa/15_2/III.xml:116, wa/15_2/III.xml:125, wa/15_2/III.xml:140"
2_III_H.17,,(ok),"fischer-lamberg/III.xml:264, fischer-lamberg/III.xml:276, fischer-lamberg/III.xml:287, fischer-lamberg/III.xml:300, fischer-lamberg/III.xml:313, fischer-lamberg/III.xml:326, fischer-lamberg/III.xml:336, fischer-lamberg/III.xml:350, handschriftendatierung_iii.xml:168, handschriftendatierung_iii.xml:442, handschriftendatierung_iii.xml:457, handschriftendatierung_iii.xml:465, handschriftendatierung_iii.xml:471, handschriftendatierung_iii.xml:477, handschriftendatierung_iii.xml:483, handschriftendatierung_iii.xml:489, handschriftendatierung_iii.xml:495, handschriftendatierung_iii.xml:501, handschriftendatierung_iii.xml:507, handschriftendatierung_iii.xml:513, handschriftendatierung_iii.xml:519, handschriftendatierung_iii.xml:532, handschriftendatierung_iii.xml:540, handschriftendatierung_iii.xml:548, handschriftendatierung_iii.xml:563, handschriftendatierung_iii.xml:573, handschriftendatierung_iii.xml:1294, wa/15_2/III.xml:111, wa/15_2/III.xml:117, wa/15_2/III.xml:126, wa/15_2/III.xml:147, wa/15_2/III.xml:166, wa/15_2/III.xml:171, wa/15_2/III.xml:182, wa/15_2/III.xml:187, wa/15_2/III.xml:194"
2_III_H.18,,(ok),"fischer-lamberg/III.xml:272, fischer-lamberg/III.xml:284, fischer-lamberg/III.xml:297, fischer-lamberg/III.xml:309, fischer-lamberg/III.xml:1590, handschriftendatierung_iii.xml:500, handschriftendatierung_iii.xml:525, handschriftendatierung_iii.xml:531, handschriftendatierung_iii.xml:1300, wa/15_2/III.xml:122, wa/15_2/III.xml:137, wa/15_2/III.xml:144, wa/15_2/III.xml:152"
2_III_H.19,,(ok),"fischer-lamberg/III.xml:286, fischer-lamberg/III.xml:299, fischer-lamberg/III.xml:1595, handschriftendatierung_iii.xml:506, handschriftendatierung_iii.xml:539, handschriftendatierung_iii.xml:1306, wa/15_2/III.xml:146, wa/15_2/III.xml:154, wa/15_2/III.xml:158"
2_III_H.20,,(ok),"fischer-lamberg/III.xml:311, fischer-lamberg/III.xml:324, fischer-lamberg/III.xml:385, handschriftendatierung_iii.xml:512, handschriftendatierung_iii.xml:547, handschriftendatierung_iii.xml:555, handschriftendatierung_iii.xml:1312, wa/15_2/III.xml:164, wa/15_2/III.xml:213"
2_III_H.21,,(ok),"fischer-lamberg/III.xml:312, fischer-lamberg/III.xml:325, handschriftendatierung_iii.xml:556, handschriftendatierung_iii.xml:562, handschriftendatierung_iii.xml:1318, wa/15_2/III.xml:165"
2_III_H.22,,(ok),"handschriftendatierung_iii.xml:242, wa/15_2/III.xml:179, wa/15_2/III.xml:362, wa/15_2/III.xml:368, wa/15_2/III.xml:411, wa/15_2/III.xml:460, wa/15_2/III.xml:467, wa/15_2/III.xml:473, wa/15_2/III.xml:511, wa/15_2/III.xml:563, wa/15_2/III.xml:568, wa/15_2/III.xml:576"
2_III_H.23,,(ok),"fischer-lamberg/III.xml:335, fischer-lamberg/III.xml:348, fischer-lamberg/III.xml:1619, wa/15_2/III.xml:177, wa/15_2/III.xml:199"
2_III_H.24,,(ok),"handschriftendatierung_iii.xml:518, handschriftendatierung_iii.xml:572, wa/15_2/III.xml:181, wa/15_2/III.xml:186, wa/15_2/III.xml:193"
2_III_H.25,,(ok),"fischer-lamberg/III.xml:363, fischer-lamberg/III.xml:374, fischer-lamberg/III.xml:387, wa/15_2/III.xml:205"
2_III_H.26,,(ok),"fischer-lamberg/III.xml:398, fischer-lamberg/III.xml:466, fischer-lamberg/III.xml:483, handschriftendatierung_iii.xml:582, handschriftendatierung_iii.xml:588, handschriftendatierung_iii.xml:642, handschriftendatierung_iii.xml:1342, wa/15_2/III.xml:218, wa/15_2/III.xml:249, wa/15_2/III.xml:257"
2_III_H.27,,(ok),"fischer-lamberg/III.xml:410, fischer-lamberg/III.xml:431, fischer-lamberg/III.xml:1200, fischer-lamberg/III.xml:1209, fischer-lamberg/III.xml:1624, wa/15_2/III.xml:225, wa/15_2/III.xml:230, wa/15_2/III.xml:571"
2_III_H.28,,(ok),"fischer-lamberg/III.xml:432, fischer-lamberg/III.xml:444, fischer-lamberg/III.xml:1629, handschriftendatierung_iii.xml:613, wa/15_2/III.xml:226, wa/15_2/III.xml:231"
2_III_H.29,,(ok),"fischer-lamberg/III.xml:411, fischer-lamberg/III.xml:433, fischer-lamberg/III.xml:445, fischer-lamberg/III.xml:456, fischer-lamberg/III.xml:468, fischer-lamberg/III.xml:1633, wa/15_2/III.xml:232, wa/15_2/III.xml:237"
2_III_H.2_1,,(ok),"handschriftendatierung_iii.xml:28, handschriftendatierung_iii.xml:1421"
2_III_H.2a_1,,(ok),"handschriftendatierung_iii.xml:49, handschriftendatierung_iii.xml:57, handschriftendatierung_iii.xml:203"
2_III_H.2a_3,,(ok),"handschriftendatierung_iii.xml:66, handschriftendatierung_iii.xml:237"
2_III_H.2a_4,,(ok),"handschriftendatierung_iii.xml:73, handschriftendatierung_iii.xml:216, handschriftendatierung_iii.xml:222"
2_III_H.2a_5,,(ok),handschriftendatierung_iii.xml:56
2_III_H.3,,(ok),"fischer-lamberg/III.xml:10, fischer-lamberg/III.xml:18, fischer-lamberg/III.xml:26, fischer-lamberg/III.xml:36, fischer-lamberg/III.xml:44, fischer-lamberg/III.xml:54, fischer-lamberg/III.xml:68, fischer-lamberg/III.xml:85, fischer-lamberg/III.xml:97, fischer-lamberg/III.xml:110, fischer-lamberg/III.xml:1552, handschriftendatierung_iii.xml:110, handschriftendatierung_iii.xml:995, wa/15_2/III.xml:10, wa/15_2/III.xml:23, wa/15_2/III.xml:31, wa/15_2/III.xml:40, wa/15_2/III.xml:485"
2_III_H.30,,(ok),"handschriftendatierung_iii.xml:581, handschriftendatierung_iii.xml:622, handschriftendatierung_iii.xml:628, handschriftendatierung_iii.xml:635, handschriftendatierung_iii.xml:641, handschriftendatierung_iii.xml:648, handschriftendatierung_iii.xml:663, wa/15_2/III.xml:217, wa/15_2/III.xml:244, wa/15_2/III.xml:276, wa/15_2/III.xml:287, wa/15_2/III.xml:313, wa/15_2/III.xml:320"
2_III_H.31,,(ok),"fischer-lamberg/III.xml:492, fischer-lamberg/III.xml:504, fischer-lamberg/III.xml:516, fischer-lamberg/III.xml:540, fischer-lamberg/III.xml:551, fischer-lamberg/III.xml:562, fischer-lamberg/III.xml:573, fischer-lamberg/III.xml:586, fischer-lamberg/III.xml:600, fischer-lamberg/III.xml:612, fischer-lamberg/III.xml:624, fischer-lamberg/III.xml:1638, handschriftendatierung_iii.xml:634, handschriftendatierung_iii.xml:657, handschriftendatierung_iii.xml:662, handschriftendatierung_iii.xml:670, handschriftendatierung_iii.xml:676, wa/15_2/III.xml:262, wa/15_2/III.xml:268, wa/15_2/III.xml:278"
2_III_H.32,,(ok),"fischer-lamberg/III.xml:503, fischer-lamberg/III.xml:528, fischer-lamberg/III.xml:542, fischer-lamberg/III.xml:626, fischer-lamberg/III.xml:640, handschriftendatierung_iii.xml:677, wa/15_2/III.xml:267, wa/15_2/III.xml:277, wa/15_2/III.xml:288, wa/15_2/III.xml:314, wa/15_2/III.xml:321"
2_III_H.33,,(ok),"fischer-lamberg/III.xml:515, fischer-lamberg/III.xml:529, fischer-lamberg/III.xml:543, fischer-lamberg/III.xml:587, fischer-lamberg/III.xml:613, fischer-lamberg/III.xml:627, wa/15_2/III.xml:282, wa/15_2/III.xml:301, wa/15_2/III.xml:315"
2_III_H.33a,,(ok),"handschriftendatierung_iii.xml:685, handschriftendatierung_iii.xml:692, handschriftendatierung_iii.xml:926"
2_III_H.34,,(ok),"fischer-lamberg/III.xml:397, fischer-lamberg/III.xml:465, fischer-lamberg/III.xml:639, handschriftendatierung_iii.xml:699, wa/15_2/III.xml:319, wa/15_2/III.xml:326"
2_III_H.35,,(ok),"fischer-lamberg/III.xml:659, fischer-lamberg/III.xml:670, fischer-lamberg/III.xml:684, fischer-lamberg/III.xml:1648, wa/15_2/III.xml:342, wa/15_2/III.xml:351"
2_III_H.36,,(ok),"fischer-lamberg/III.xml:669, fischer-lamberg/III.xml:683, handschriftendatierung_iii.xml:707, handschriftendatierung_iii.xml:713, wa/15_2/III.xml:343, wa/15_2/III.xml:350"
2_III_H.37,,(ok),"fischer-lamberg/III.xml:691, fischer-lamberg/III.xml:702, fischer-lamberg/III.xml:742, fischer-lamberg/III.xml:758, fischer-lamberg/III.xml:777, wa/15_2/III.xml:360"
2_III_H.38,,(ok),"fischer-lamberg/III.xml:713, fischer-lamberg/III.xml:751, fischer-lamberg/III.xml:1653, wa/15_2/III.xml:376, wa/15_2/III.xml:397"
2_III_H.39,,(ok),"fischer-lamberg/III.xml:722, fischer-lamberg/III.xml:1658, handschriftendatierung_iii.xml:723, wa/15_2/III.xml:384"
2_III_H.4,,(ok),"fischer-lamberg/III.xml:17, fischer-lamberg/III.xml:25, fischer-lamberg/III.xml:43, fischer-lamberg/III.xml:1557, handschriftendatierung_iii.xml:109, wa/15_2/III.xml:30"
2_III_H.40,,(ok),"fischer-lamberg/III.xml:732, fischer-lamberg/III.xml:1663, handschriftendatierung_iii.xml:731, wa/15_2/III.xml:391"
2_III_H.41,,(ok),"fischer-lamberg/III.xml:743, fischer-lamberg/III.xml:750, fischer-lamberg/III.xml:1668, handschriftendatierung_iii.xml:737, wa/15_2/III.xml:396"
2_III_H.42,,(ok),"fischer-lamberg/III.xml:757, fischer-lamberg/III.xml:802, fischer-lamberg/III.xml:1673, handschriftendatierung_iii.xml:745, handschriftendatierung_iii.xml:751, handschriftendatierung_iii.xml:757, wa/15_2/III.xml:404"
2_III_H.43,,(ok),"fischer-lamberg/III.xml:766, fischer-lamberg/III.xml:1678, handschriftendatierung_iii.xml:766, handschriftendatierung_iii.xml:774, wa/15_2/III.xml:409, wa/15_2/III.xml:415"
2_III_H.44,,(ok),"fischer-lamberg/III.xml:778, fischer-lamberg/III.xml:1683, wa/15_2/III.xml:420"
2_III_H.44a,,(ok),"fischer-lamberg/III.xml:779, fischer-lamberg/III.xml:1826, handschriftendatierung_iii.xml:1178"
2_III_H.45,,(ok),"fischer-lamberg/III.xml:791, fischer-lamberg/III.xml:803, fischer-lamberg/III.xml:1688, handschriftendatierung_iii.xml:782, wa/15_2/III.xml:426, wa/15_2/III.xml:433"
2_III_H.46,,(ok),"fischer-lamberg/III.xml:812, fischer-lamberg/III.xml:823, fischer-lamberg/III.xml:831, fischer-lamberg/III.xml:846, fischer-lamberg/III.xml:1693, handschriftendatierung_iii.xml:791, wa/15_2/III.xml:440, wa/15_2/III.xml:445"
2_III_H.46b,,(ok),"fischer-lamberg/III.xml:822, fischer-lamberg/III.xml:1810, wa/15_2/III.xml:439"
2_III_H.47,,(ok),"fischer-lamberg/III.xml:830, fischer-lamberg/III.xml:845, fischer-lamberg/III.xml:1698, handschriftendatierung_iii.xml:799, handschriftendatierung_iii.xml:806"
2_III_H.48,,(ok),"fischer-lamberg/III.xml:838, fischer-lamberg/III.xml:854, wa/15_2/III.xml:452"
2_III_H.48a,,(ok),"fischer-lamberg/III.xml:861, fischer-lamberg/III.xml:1831"
2_III_H.49,,(ok),"fischer-lamberg/III.xml:868, fischer-lamberg/III.xml:890, fischer-lamberg/III.xml:910, fischer-lamberg/III.xml:1168, fischer-lamberg/III.xml:1179, fischer-lamberg/III.xml:1190, wa/15_2/III.xml:468, wa/15_2/III.xml:569"
2_III_H.5,,(ok),"fischer-lamberg/III.xml:33, fischer-lamberg/III.xml:61, fischer-lamberg/III.xml:77, fischer-lamberg/III.xml:92, handschriftendatierung_iii.xml:299, wa/15_2/III.xml:37"
2_III_H.50,,(ok),fischer-lamberg/III.xml:921
2_III_H.50a,,(ok),"fischer-lamberg/III.xml:932, fischer-lamberg/III.xml:1816, wa/15_2/III.xml:478"
2_III_H.50b,,(ok),handschriftendatierung_iii.xml:1205
2_III_H.50c,,(ok),"fischer-lamberg/III.xml:939, fischer-lamberg/III.xml:955, fischer-lamberg/III.xml:964, fischer-lamberg/III.xml:976, fischer-lamberg/III.xml:977, fischer-lamberg/III.xml:987, fischer-lamberg/III.xml:988, wa/15_2/III.xml:483, wa/15_2/III.xml:497, wa/15_2/III.xml:503"
2_III_H.50d,,(ok),handschriftendatierung_iii.xml:1197
2_III_H.51,,(ok),"fischer-lamberg/III.xml:947, fischer-lamberg/III.xml:956, handschriftendatierung_iii.xml:837, wa/15_2/III.xml:490, wa/15_2/III.xml:498"
2_III_H.52,,(ok),"fischer-lamberg/III.xml:957, fischer-lamberg/III.xml:966, fischer-lamberg/III.xml:979, fischer-lamberg/III.xml:991, handschriftendatierung_iii.xml:844, wa/15_2/III.xml:499, wa/15_2/III.xml:505"
2_III_H.53,,(ok),"fischer-lamberg/III.xml:965, fischer-lamberg/III.xml:990, fischer-lamberg/III.xml:1703, handschriftendatierung_iii.xml:852, handschriftendatierung_iii.xml:858, wa/15_2/III.xml:504"
2_III_H.54,,(ok),fischer-lamberg/III.xml:1709
2_III_H.55,,(ok),"fischer-lamberg/III.xml:1004, fischer-lamberg/III.xml:1024, fischer-lamberg/III.xml:1034, fischer-lamberg/III.xml:1045, handschriftendatierung_iii.xml:867, handschriftendatierung_iii.xml:873, handschriftendatierung_iii.xml:880, handschriftendatierung_iii.xml:894"
2_III_H.56,,(ok),"fischer-lamberg/III.xml:1005, fischer-lamberg/III.xml:1015, fischer-lamberg/III.xml:1025, fischer-lamberg/III.xml:1035, fischer-lamberg/III.xml:1046, fischer-lamberg/III.xml:1714, handschriftendatierung_iii.xml:888, handschriftendatierung_iii.xml:895, wa/15_2/III.xml:509"
2_III_H.57,,(ok),"fischer-lamberg/III.xml:1056, fischer-lamberg/III.xml:1073, fischer-lamberg/III.xml:1093, fischer-lamberg/III.xml:1103, fischer-lamberg/III.xml:1471, fischer-lamberg/III.xml:1479, handschriftendatierung_iii.xml:903, handschriftendatierung_iii.xml:910, wa/15_2/III.xml:666"
2_III_H.57a,,(ok),"wa/15_2/III.xml:515, wa/15_2/III.xml:531"
2_III_H.58,,(ok),"fischer-lamberg/III.xml:1058, fischer-lamberg/III.xml:1719, handschriftendatierung_iii.xml:917, wa/15_2/III.xml:516"
2_III_H.58b,,(ok),"fischer-lamberg/III.xml:1066, fischer-lamberg/III.xml:1075, fischer-lamberg/III.xml:1821, handschriftendatierung_iii.xml:909, handschriftendatierung_iii.xml:1213, wa/15_2/III.xml:522"
2_III_H.59,,(ok),"fischer-lamberg/III.xml:553, fischer-lamberg/III.xml:575, fischer-lamberg/III.xml:602, fischer-lamberg/III.xml:1065, fischer-lamberg/III.xml:1074, fischer-lamberg/III.xml:1112, fischer-lamberg/III.xml:1120, fischer-lamberg/III.xml:1128, fischer-lamberg/III.xml:1481, fischer-lamberg/III.xml:1724, handschriftendatierung_iii.xml:691, handschriftendatierung_iii.xml:925, wa/15_2/III.xml:521"
2_III_H.59a,,(ok),"fischer-lamberg/III.xml:1082, fischer-lamberg/III.xml:1094, fischer-lamberg/III.xml:1105, wa/15_2/III.xml:526, wa/15_2/III.xml:532"
2_III_H.59b,,(ok),"handschriftendatierung_iii.xml:960, wa/15_2/III.xml:527"
2_III_H.60,,(ok),"fischer-lamberg/III.xml:1130, fischer-lamberg/III.xml:1138, fischer-lamberg/III.xml:1148, fischer-lamberg/III.xml:1156, fischer-lamberg/III.xml:1729, wa/15_2/III.xml:536, wa/15_2/III.xml:557"
2_III_H.61,,(ok),"fischer-lamberg/III.xml:1131, fischer-lamberg/III.xml:1139, handschriftendatierung_iii.xml:1010, wa/15_2/III.xml:537, wa/15_2/III.xml:543"
2_III_H.62,,(ok),"fischer-lamberg/III.xml:1142, fischer-lamberg/III.xml:1161, handschriftendatierung_iii.xml:1019"
2_III_H.63,,(ok),"fischer-lamberg/III.xml:1149, fischer-lamberg/III.xml:1158, handschriftendatierung_iii.xml:1026, wa/15_2/III.xml:550"
2_III_H.64,,(ok),"fischer-lamberg/III.xml:1157, fischer-lamberg/III.xml:1734, handschriftendatierung_iii.xml:1036, wa/15_2/III.xml:558"
2_III_H.64b,,(ok),"handschriftendatierung_iii.xml:1043, wa/15_2/III.xml:562, wa/15_2/III.xml:570"
2_III_H.65,,(ok),"fischer-lamberg/III.xml:1227, fischer-lamberg/III.xml:1739"
2_III_H.66,,(ok),"fischer-lamberg/III.xml:1218, fischer-lamberg/III.xml:1226, fischer-lamberg/III.xml:1494, fischer-lamberg/III.xml:1503, wa/15_2/III.xml:580"
2_III_H.66a,,(ok),"fischer-lamberg/III.xml:1219, fischer-lamberg/III.xml:1228"
2_III_H.67,,(ok),"fischer-lamberg/III.xml:84, fischer-lamberg/III.xml:1235, fischer-lamberg/III.xml:1744, handschriftendatierung_iii.xml:209, wa/15_2/III.xml:585"
2_III_H.68,,(ok),"fischer-lamberg/III.xml:1252, fischer-lamberg/III.xml:1262, handschriftendatierung_iii.xml:1055, handschriftendatierung_iii.xml:1063, wa/15_2/III.xml:590, wa/15_2/III.xml:595"
2_III_H.69,,(ok),"fischer-lamberg/III.xml:1253, fischer-lamberg/III.xml:1409, fischer-lamberg/III.xml:1419, handschriftendatierung_iii.xml:1056, handschriftendatierung_iii.xml:1064, wa/15_2/III.xml:591"
2_III_H.6_2,,(ok),"handschriftendatierung_iii.xml:176, handschriftendatierung_iii.xml:182, handschriftendatierung_iii.xml:190"
2_III_H.70,,(ok),"fischer-lamberg/III.xml:1282, fischer-lamberg/III.xml:1303, fischer-lamberg/III.xml:1316, fischer-lamberg/III.xml:1317, fischer-lamberg/III.xml:1324, fischer-lamberg/III.xml:1325, fischer-lamberg/III.xml:1333, fischer-lamberg/III.xml:1341, fischer-lamberg/III.xml:1342, fischer-lamberg/III.xml:1754, handschriftendatierung_iii.xml:1072, wa/15_2/III.xml:607, wa/15_2/III.xml:622, wa/15_2/III.xml:628"
2_III_H.71,,(ok),"fischer-lamberg/III.xml:1291, fischer-lamberg/III.xml:1441, fischer-lamberg/III.xml:1758, handschriftendatierung_iii.xml:1079, wa/15_2/III.xml:613"
2_III_H.72,,(ok),"fischer-lamberg/III.xml:1293, fischer-lamberg/III.xml:1304, fischer-lamberg/III.xml:1763, wa/15_2/III.xml:617"
2_III_H.73,,(ok),"fischer-lamberg/III.xml:1353, fischer-lamberg/III.xml:1771, handschriftendatierung_iii.xml:1088, handschriftendatierung_iii.xml:1094, handschriftendatierung_iii.xml:1111, wa/15_2/III.xml:632, wa/15_2/III.xml:637"
2_III_H.74,,(ok),"fischer-lamberg/III.xml:1354, fischer-lamberg/III.xml:1775, handschriftendatierung_iii.xml:1095, handschriftendatierung_iii.xml:1104, handschriftendatierung_iii.xml:1112, handschriftendatierung_iii.xml:1119, wa/15_2/III.xml:642"
2_III_H.75,,(ok),"fischer-lamberg/III.xml:1357, fischer-lamberg/III.xml:1373, handschriftendatierung_iii.xml:1120, wa/15_2/III.xml:643"
2_III_H.75b,,(ok),handschriftendatierung_iii.xml:1220
2_III_H.76,,(ok),"fischer-lamberg/III.xml:1368, fischer-lamberg/III.xml:1369, fischer-lamberg/III.xml:1381, fischer-lamberg/III.xml:1382, wa/15_2/III.xml:647, wa/15_2/III.xml:661"
2_III_H.77,,(ok),"fischer-lamberg/III.xml:1398, fischer-lamberg/III.xml:1785, handschriftendatierung_iii.xml:1131, handschriftendatierung_iii.xml:1136, wa/15_2/III.xml:654"
