Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
faust://document/wa/2_III_H,faust://document/wa/2_H,unknown,"fischer-lamberg/III.xml:12, fischer-lamberg/III.xml:20, fischer-lamberg/III.xml:28, fischer-lamberg/III.xml:38, fischer-lamberg/III.xml:46, fischer-lamberg/III.xml:56, fischer-lamberg/III.xml:70, fischer-lamberg/III.xml:87, fischer-lamberg/III.xml:99, fischer-lamberg/III.xml:112, fischer-lamberg/III.xml:122, fischer-lamberg/III.xml:131, fischer-lamberg/III.xml:140, fischer-lamberg/III.xml:148, fischer-lamberg/III.xml:158, fischer-lamberg/III.xml:168, fischer-lamberg/III.xml:179, fischer-lamberg/III.xml:190, fischer-lamberg/III.xml:200, fischer-lamberg/III.xml:210, fischer-lamberg/III.xml:219, fischer-lamberg/III.xml:229, fischer-lamberg/III.xml:238, fischer-lamberg/III.xml:246, fischer-lamberg/III.xml:255, fischer-lamberg/III.xml:268, fischer-lamberg/III.xml:280, fischer-lamberg/III.xml:291, fischer-lamberg/III.xml:304, fischer-lamberg/III.xml:317, fischer-lamberg/III.xml:330, fischer-lamberg/III.xml:343, fischer-lamberg/III.xml:357, fischer-lamberg/III.xml:367, fischer-lamberg/III.xml:378, fischer-lamberg/III.xml:391, fischer-lamberg/III.xml:402, fischer-lamberg/III.xml:415, fischer-lamberg/III.xml:425, fischer-lamberg/III.xml:437, fischer-lamberg/III.xml:449, fischer-lamberg/III.xml:460, fischer-lamberg/III.xml:472, fischer-lamberg/III.xml:487, fischer-lamberg/III.xml:496, fischer-lamberg/III.xml:508, fischer-lamberg/III.xml:520, fischer-lamberg/III.xml:533, fischer-lamberg/III.xml:557, fischer-lamberg/III.xml:568, fischer-lamberg/III.xml:579, fischer-lamberg/III.xml:593, fischer-lamberg/III.xml:606, fischer-lamberg/III.xml:619, fischer-lamberg/III.xml:632, fischer-lamberg/III.xml:651, fischer-lamberg/III.xml:664, fischer-lamberg/III.xml:675, fischer-lamberg/III.xml:697, fischer-lamberg/III.xml:708, fischer-lamberg/III.xml:717, fischer-lamberg/III.xml:726, fischer-lamberg/III.xml:736, fischer-lamberg/III.xml:770, fischer-lamberg/III.xml:783, fischer-lamberg/III.xml:794, fischer-lamberg/III.xml:1143, fischer-lamberg/III.xml:1162, fischer-lamberg/III.xml:1174, fischer-lamberg/III.xml:1185, fischer-lamberg/III.xml:1196, fischer-lamberg/III.xml:1244, fischer-lamberg/III.xml:1256, fischer-lamberg/III.xml:1266, fischer-lamberg/III.xml:1273, fischer-lamberg/III.xml:1307, fischer-lamberg/III.xml:1359, fischer-lamberg/III.xml:1372, fischer-lamberg/III.xml:1385, fischer-lamberg/III.xml:1422, fischer-lamberg/III.xml:1435, fischer-lamberg/III.xml:1447, fischer-lamberg/III.xml:1536, wa/15_2/III.xml:13, wa/15_2/III.xml:25, wa/15_2/III.xml:33, wa/15_2/III.xml:50, wa/15_2/III.xml:57, wa/15_2/III.xml:64, wa/15_2/III.xml:79, wa/15_2/III.xml:112, wa/15_2/III.xml:130, wa/15_2/III.xml:253, wa/15_2/III.xml:272, wa/15_2/III.xml:291, wa/15_2/III.xml:309, wa/15_2/III.xml:330, wa/15_2/III.xml:355, wa/15_2/III.xml:371, wa/15_2/III.xml:380, wa/15_2/III.xml:446, wa/15_2/III.xml:455, wa/15_2/III.xml:486, wa/15_2/III.xml:493, wa/15_2/III.xml:546, wa/15_2/III.xml:553, wa/15_2/III.xml:601, wa/15_2/III.xml:650, wa/15_2/III.xml:657"
faust://document/wa/2_III_H.15II,,unknown,"wa/15_2/III.xml:104, wa/15_2/III.xml:109, wa/15_2/III.xml:124, wa/15_2/III.xml:138"
faust://document/wa/2_III_H.22_1,faust://document/fischer_lamberg/2_III_H.22_1,unknown,"fischer-lamberg/III.xml:339, fischer-lamberg/III.xml:353, fischer-lamberg/III.xml:1007, fischer-lamberg/III.xml:1017, fischer-lamberg/III.xml:1027, fischer-lamberg/III.xml:1037, fischer-lamberg/III.xml:1048, fischer-lamberg/III.xml:1600"
faust://document/wa/2_III_H.22_2,faust://document/fischer_lamberg/2_III_H.22_2,unknown,"fischer-lamberg/III.xml:686, fischer-lamberg/III.xml:694, fischer-lamberg/III.xml:1605"
faust://document/wa/2_III_H.22_3,faust://document/fischer_lamberg/2_III_H.22_3,unknown,"fischer-lamberg/III.xml:705, fischer-lamberg/III.xml:768, fischer-lamberg/III.xml:1610"
faust://document/wa/2_III_H.22_4,faust://document/fischer_lamberg/2_III_H.22_4,unknown,"fischer-lamberg/III.xml:870, fischer-lamberg/III.xml:892, fischer-lamberg/III.xml:912, fischer-lamberg/III.xml:923, fischer-lamberg/III.xml:1614"
faust://document/wa/2_III_H.22_5,faust://document/fischer_lamberg/2_III_H.22_5,unknown,"fischer-lamberg/III.xml:1171, fischer-lamberg/III.xml:1182, fischer-lamberg/III.xml:1193, fischer-lamberg/III.xml:1203, fischer-lamberg/III.xml:1212"
faust://document/wa/2_III_H.2_alpha,,unknown,fischer-lamberg/III.xml:997
faust://document/wa/2_III_H.33_a,faust://document/wa/2_III_H.33a,unknown,"fischer-lamberg/III.xml:554, fischer-lamberg/III.xml:565, fischer-lamberg/III.xml:576, fischer-lamberg/III.xml:590, fischer-lamberg/III.xml:603, fischer-lamberg/III.xml:1643"
faust://document/wa/2_III_H.7/1,faust://document/fischer_lamberg/2_III_H.7_1,unknown,"handschriftendatierung_iii.xml:198, handschriftendatierung_iii.xml:204, handschriftendatierung_iii.xml:210"
