,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 II H.2:3,faust://document/faustedition/2_II_H.2_3,2 II H.2:3,Witness,,486,615,1827-09-26,1827-09-26,1828-03-26,1828-03-26,1827-12-26,1827.0,1827 … 1828,215
2 II H.2:1,faust://document/faustedition/2_II_H.2_1,2 II H.2:1,Witness,,487,617,1827-09-28,1827-09-28,1828-03-28,1828-03-28,1827-12-28,1827.0,1827 … 1828,213
2 I H.17,faust://document/faustedition/2_I_H.17,2 I H.17,Witness,,488,635,1827-10-01,1827-10-01,1828-03-31,1828-03-31,1827-12-31,1827.0,1827 … 1828,160
2 I H.8,faust://document/faustedition/2_I_H.8,2 I H.8,Witness,,489,629,1827-10-16,1827-10-16,1827-12-09,1828-04-15,1827-11-12,1827.0,1827,131
2 I H.15,faust://document/faustedition/2_I_H.15,2 I H.15,Witness,,490,630,1827-10-31,1827-10-31,1828-01-01,1828-01-01,1827-12-01,1827.0,1827,155
2 I H.15a,faust://document/faustedition/2_I_H.15a,2 I H.15a,Witness,,491,632,1827-10-31,,,,1827-10-31,1827.0,1827,156
2 I H.25,faust://document/faustedition/2_I_H.25,2 I H.25,Witness,,492,631,1827-11-04,1827-11-04,1827-11-16,1827-11-16,1827-11-10,1827.0,1827,171
2 I H.26,faust://document/faustedition/2_I_H.26,2 I H.26,Witness,,493,634,1827-11-04,1827-11-04,1827-11-16,1827-11-16,1827-11-10,1827.0,1827,172
2 I H.27,faust://document/faustedition/2_I_H.27,2 I H.27,Witness,,494,633,1827-11-04,,,,1827-11-04,1827.0,1827,173
2 I H.24b,faust://document/faustedition/2_I_H.24b,2 I H.24b,Witness,,495,633,1827-11-06,1827-11-06,1827-12-17,1828-01-01,1827-11-26,1827.0,1827,169
2 I H.24c,faust://document/faustedition/2_I_H.24c,2 I H.24c,Witness,,496,635,1827-11-06,,1831-09-22,,1829-10-14,1829.0,1827 … 1831,170
2 II H.3,faust://document/faustedition/2_II_H.3,2 II H.3,Witness,,497,633,1827-11-08,1827-11-08,1827-11-18,1827-11-18,1827-11-13,1827.0,1827,216
2 I H.3,faust://document/faustedition/2_I_H.3,2 I H.3,Witness,,498,641,1827-12-05,1827-12-05,1828-06-04,1828-06-04,1828-03-05,1828.0,1827 … 1828,125
2 I H.4,faust://document/faustedition/2_I_H.4,2 I H.4,Witness,,499,641,1827-12-05,1827-12-05,1827-12-23,1828-06-04,1827-12-14,1827.0,1827,126
2 I H.6,faust://document/faustedition/2_I_H.6,2 I H.6,Witness,,500,642,1827-12-07,1827-12-07,1828-01-01,1828-01-01,1827-12-19,1827.0,1827,128
2 I H.7,faust://document/faustedition/2_I_H.7,2 I H.7,Witness,,501,642,1827-12-07,1827-12-07,1828-06-06,1828-06-06,1828-03-07,1828.0,1827 … 1828,130
2 I H.9,faust://document/faustedition/2_I_H.9,2 I H.9,Witness,,502,645,1827-12-07,1827-12-07,1827-12-09,1827-12-09,1827-12-08,1827.0,1827,132
2 I H.9a,faust://document/faustedition/2_I_H.9a,2 I H.9a,Witness,,503,646,1827-12-07,1827-12-07,1827-12-09,1827-12-09,1827-12-08,1827.0,1827,133
2 I H.9b,faust://document/faustedition/2_I_H.9b,2 I H.9b,Witness,,504,646,1827-12-07,1827-06-10,1827-12-09,1827-12-09,1827-12-08,1827.0,1827,134
2 I H.34,faust://document/faustedition/2_I_H.34,2 I H.34,Witness,,505,642,1827-12-07,1827-12-07,1827-12-23,1828-06-06,1827-12-15,1827.0,1827,180
2 I H.30,faust://document/faustedition/2_I_H.30,2 I H.30,Witness,,506,643,1827-12-07,,1827-12-23,,1827-12-15,1827.0,1827,176
2 I H.38,faust://document/faustedition/2_I_H.38,2 I H.38,Witness,,507,642,1827-12-07,1827-12-07,1827-12-23,1828-01-01,1827-12-15,1827.0,1827,185
2 I H.40,faust://document/faustedition/2_I_H.40,2 I H.40,Witness,,508,642,1827-12-07,1827-12-07,1827-12-23,1828-01-01,1827-12-15,1827.0,1827,187
2 I H.36,faust://document/faustedition/2_I_H.36,2 I H.36,Witness,,509,644,1827-12-07,1827-12-07,1827-12-23,1828-01-01,1827-12-15,1827.0,1827,183
2 I H.29,faust://document/faustedition/2_I_H.29,2 I H.29,Witness,,510,651,1827-12-15,1827-12-15,1827-12-23,1828-01-23,1827-12-19,1827.0,1827,175
2 I H.28,faust://document/faustedition/2_I_H.28,2 I H.28,Witness,,511,652,1827-12-15,,1831-09-22,,1829-11-02,1829.0,1827 … 1831,174
2 I H.31,faust://document/faustedition/2_I_H.31,2 I H.31,Witness,,512,652,1827-12-15,,1827-12-23,,1827-12-19,1827.0,1827,177
H P106 i_v,faust://inscription/faustedition/H_P106/i_v,H P106 i_v,Inscription,H P106,513,651,1827-12-15,1827-12-15,1827-12-17,1827-12-17,1827-12-16,1827.0,1827,677
H P105,faust://document/faustedition/H_P105,H P105,Witness,,514,655,1827-12-15,1827-11-06,1827-12-17,1828-05-06,1827-12-16,1827.0,1827,587
H P106,faust://document/faustedition/H_P106,H P106,Witness,,515,656,1827-12-15,1827-12-15,1827-12-17,1827-12-17,1827-12-16,1827.0,1827,588
2 I H.19 i_4,faust://inscription/faustedition/2_I_H.19/i_4,2 I H.19 i_4,Inscription,2 I H.19,516,657,1827-12-19,1827-12-19,1828-01-01,1828-01-01,1827-12-25,1827.0,1827,41
2 I H.19,faust://document/faustedition/2_I_H.19,2 I H.19,Witness,,517,658,1827-12-19,1827-12-19,1828-01-01,1828-01-01,1827-12-25,1827.0,1827,162
2 I H.20,faust://document/faustedition/2_I_H.20,2 I H.20,Witness,,518,660,1827-12-19,,,,1827-12-19,1827.0,1827,163
2 I H.32 i_7_v,faust://inscription/faustedition/2_I_H.32/i_7_v,2 I H.32 i_7_v,Inscription,2 I H.32,519,658,1827-12-21,1827-12-21,1827-12-23,1827-12-23,1827-12-22,1827.0,1827,42
2 I H.43 i_uebrige,faust://inscription/faustedition/2_I_H.43/i_uebrige,2 I H.43 i_uebrige,Inscription,2 I H.43,520,658,1827-12-21,1827-12-21,1827-12-23,1827-12-23,1827-12-22,1827.0,1827,71
2 I H.43,faust://document/faustedition/2_I_H.43,2 I H.43,Witness,,521,660,1827-12-21,1827-12-21,1827-12-23,1827-12-23,1827-12-22,1827.0,1827,191
2 I H.43a,faust://document/faustedition/2_I_H.43a,2 I H.43a,Witness,,522,661,1827-12-21,,1831-09-22,,1829-11-05,1829.0,1827 … 1831,192
2 I H.45,faust://document/faustedition/2_I_H.45,2 I H.45,Witness,,523,658,1827-12-21,1827-12-21,1828-01-01,1828-01-01,1827-12-26,1827.0,1827,194
2 I H.44,faust://document/faustedition/2_I_H.44,2 I H.44,Witness,,524,659,1827-12-21,,1831-09-22,,1829-11-05,1829.0,1827 … 1831,193
2 I H.42,faust://document/faustedition/2_I_H.42,2 I H.42,Witness,,525,655,1827-12-12,1827-12-12,1827-12-23,1827-12-26,1827-12-17,1827.0,1827,190
wa: 2_I_H.alpha,faust://document/wa/2_I_H.alpha,wa: 2_I_H.alpha,UnknownRef,,526,656,1827-12-12,,1827-12-23,,1827-12-17,1827.0,1827,114
2 I H.32,faust://document/faustedition/2_I_H.32,2 I H.32,Witness,,527,676,1827-12-21,1827-12-21,1827-12-23,1827-12-23,1827-12-22,1827.0,1827,178
2 I H.41a,faust://document/faustedition/2_I_H.41a,2 I H.41a,Witness,,528,673,1827-12-21,,1831-09-22,,1829-11-05,1829.0,1827 … 1831,189
2 I H.9c*,faust://document/faustedition/2_I_H.9c_,2 I H.9c*,Witness,,529,678,1827-12-24,1827-12-24,1827-12-26,1827-12-26,1827-12-25,1827.0,1827,135
2 I H.9m,faust://document/faustedition/2_I_H.9m,2 I H.9m,Witness,,530,677,1827-12-24,1827-12-24,1827-12-26,1827-12-26,1827-12-25,1827.0,1827,144
2 I H.9n*,faust://document/faustedition/2_I_H.9n_,2 I H.9n*,Witness,,531,679,1827-12-24,1827-12-24,1827-12-26,1827-12-26,1827-12-25,1827.0,1827,145
2 I H.9o*,faust://document/faustedition/2_I_H.9o_,2 I H.9o*,Witness,,532,677,1827-12-24,1827-12-24,1827-12-26,1827-12-26,1827-12-25,1827.0,1827,146
2 I H.9p*,faust://document/faustedition/2_I_H.9p_,2 I H.9p*,Witness,,533,680,1827-12-24,1827-12-24,1827-12-26,1827-12-26,1827-12-25,1827.0,1827,147
2 I H.9d,faust://document/faustedition/2_I_H.9d,2 I H.9d,Witness,,534,685,1827-12-27,1827-12-27,1827-12-29,1827-12-29,1827-12-28,1827.0,1827,136
2 I H.32 i_uebrige,faust://inscription/faustedition/2_I_H.32/i_uebrige,2 I H.32 i_uebrige,Inscription,2 I H.32,535,671,1827-12-22,1827-12-11,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,69
2 I H.33,faust://document/faustedition/2_I_H.33,2 I H.33,Witness,,536,668,1827-12-22,1827-12-22,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,179
2 I H.34a,faust://document/faustedition/2_I_H.34a,2 I H.34a,Witness,,537,668,1827-12-22,1827-12-21,1828-06-20,1828-06-20,1828-03-21,1828.0,1827 … 1828,181
2 I H.37,faust://document/faustedition/2_I_H.37,2 I H.37,Witness,,538,679,1827-12-22,1827-12-21,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,184
2 I H.39,faust://document/faustedition/2_I_H.39,2 I H.39,Witness,,539,668,1827-12-22,1827-12-07,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,186
2 I H.41,faust://document/faustedition/2_I_H.41,2 I H.41,Witness,,540,668,1827-12-22,1827-12-07,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,188
2 I H.35,faust://document/faustedition/2_I_H.35,2 I H.35,Witness,,541,681,1827-12-22,1827-12-21,1828-01-01,1828-01-01,1827-12-27,1827.0,1827,182
H P107,faust://document/faustedition/H_P107,H P107,Witness,,542,702,1828-01-07,1828-01-07,1828-02-01,1828-02-01,1828-01-19,1828.0,1828,589
