,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 III H.42a,faust://document/faustedition/2_III_H.42a,2 III H.42a,Witness,,368,735,736,444,1825-03-28,,,,1825-03-28,1825.0,1825,378
2 III H.44,faust://document/faustedition/2_III_H.44,2 III H.44,Witness,,369,737,738,446,1825-03-28,1824-04-30,1825-04-06,1825-04-21,1825-04-01,1825.0,1825,380
2 III H.44a,faust://document/faustedition/2_III_H.44a,2 III H.44a,Witness,,370,739,740,448,1825-03-28,1824-04-22,1825-04-06,1825-04-21,1825-04-01,1825.0,1825,381
2 III H.27,faust://document/faustedition/2_III_H.27,2 III H.27,Witness,,371,741,742,445,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,360
2 III H.28,faust://document/faustedition/2_III_H.28,2 III H.28,Witness,,372,743,744,447,1825-03-29,1825-03-29,1825-04-06,1825-04-06,1825-04-02,1825.0,1825,361
2 III H.29,faust://document/faustedition/2_III_H.29,2 III H.29,Witness,,373,745,746,449,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,362
2 III H.38,faust://document/faustedition/2_III_H.38,2 III H.38,Witness,,374,747,748,449,1825-03-29,1825-03-29,1825-04-06,1825-09-27,1825-04-02,1825.0,1825,373
2 III H.39,faust://document/faustedition/2_III_H.39,2 III H.39,Witness,,375,749,750,443,1825-03-29,1825-03-29,1825-04-06,1825-06-04,1825-04-02,1825.0,1825,374
2 III H.40,faust://document/faustedition/2_III_H.40,2 III H.40,Witness,,376,751,752,443,1825-03-29,1825-03-29,1825-04-06,1825-06-05,1825-04-02,1825.0,1825,375
2 III H.1,faust://document/faustedition/2_III_H.1,2 III H.1,Witness,,377,753,754,527,1825-03-29,1825-02-24,1825-04-06,1825-04-06,1825-04-02,1825.0,1825,305
2 III H.64b,faust://document/faustedition/2_III_H.64b,2 III H.64b,Witness,,378,755,756,449,1825-03-29,,1826-04-28,,1825-10-12,1825.0,1825 … 1826,423
2 III H.64a,faust://document/faustedition/2_III_H.64a,2 III H.64a,Witness,,379,757,758,451,1825-03-29,,,,1825-03-29,1825.0,1825,422
2 III H.64c,faust://document/faustedition/2_III_H.64c,2 III H.64c,Witness,,380,759,760,453,1825-03-29,,,,1825-03-29,1825.0,1825,424
2 III H.64d,faust://document/faustedition/2_III_H.64d,2 III H.64d,Witness,,381,761,762,455,1825-03-29,,,,1825-03-29,1825.0,1825,425
H P164a,faust://document/faustedition/H_P164a,H P164a,Witness,,382,763,764,445,1825-03-29,1825-03-29,1825-04-04,1825-04-04,1825-04-01,1825.0,1825,629
2 III H.23d,faust://document/faustedition/2_III_H.23d,2 III H.23d,Witness,,383,765,766,478,1825-04-02,1825-04-02,1825-10-01,1825-10-01,1825-07-02,1825.0,1825,354
2 III H.8a,faust://document/faustedition/2_III_H.8a,2 III H.8a,Witness,,384,767,768,478,1825-04-02,1825-04-02,1825-10-01,1825-10-01,1825-07-02,1825.0,1825,331
2 III H.8c,faust://document/faustedition/2_III_H.8c,2 III H.8c,Witness,,385,769,770,478,1825-04-02,1825-04-02,1825-10-01,1825-10-01,1825-07-02,1825.0,1825,333
2 III H.9a,faust://document/faustedition/2_III_H.9a,2 III H.9a,Witness,,386,771,772,478,1825-04-02,1825-04-02,1825-10-01,1825-10-01,1825-07-02,1825.0,1825,335
H P166a,faust://document/faustedition/H_P166a,H P166a,Witness,,387,773,774,485,1825-04-04,1825-04-04,1825-04-06,1825-04-06,1825-04-05,1825.0,1825,631
2 III H.49a,faust://document/faustedition/2_III_H.49a,2 III H.49a,Witness,,388,775,776,487,1825-04-04,,1826-05-10,,1825-10-21,1825.0,1825 … 1826,392
2 III H.49b,faust://document/faustedition/2_III_H.49b,2 III H.49b,Witness,,389,777,778,489,1825-04-04,,1826-05-10,,1825-10-21,1825.0,1825 … 1826,393
2 III H.49c,faust://document/faustedition/2_III_H.49c,2 III H.49c,Witness,,390,779,780,491,1825-04-04,,1826-05-10,,1825-10-21,1825.0,1825 … 1826,394
H P167 i_uebrige,faust://inscription/faustedition/H_P167/i_uebrige,H P167 i_uebrige,Inscription,H P167,391,781,782,489,1825-04-04,,1825-04-06,,1825-04-05,1825.0,1825,688
2 III H.12,faust://document/faustedition/2_III_H.12,2 III H.12,Witness,,392,783,784,493,1825-04-04,1825-02-25,1825-04-06,1825-04-06,1825-04-05,1825.0,1825,338
2 V H.26a,faust://document/faustedition/2_V_H.26a,2 V H.26a,Witness,,393,785,786,570,1825-04-25,1825-04-25,1825-04-27,1825-04-27,1825-04-26,1825.0,1825,527
2 I H.1,faust://document/faustedition/2_I_H.1,2 I H.1,Witness,,394,787,788,574,1825-05-04,1825-05-04,1825-05-30,1825-05-30,1825-05-17,1825.0,1825,123
2 III H.58 i_v,faust://inscription/faustedition/2_III_H.58/i_v,2 III H.58 i_v,Inscription,2 III H.58,395,789,790,577,1825-05-06,1825-05-06,1827-05-28,1827-05-28,1826-05-17,1826.0,1825 … 1827,85
1 H.1,faust://document/faustedition/1_H.1,1 H.1,Witness,,396,791,792,579,1825-05-21,1825-05-21,1828-01-11,1828-01-11,1826-09-15,1826.0,1825 … 1828,4
1 H.6,faust://document/faustedition/1_H.6,1 H.6,Witness,,397,793,794,585,1825-06-11,1825-06-11,1825-06-13,1825-06-13,1825-06-12,1825.0,1825,9
D.4,faust://bibliography/D.4,D.4,UnknownRef,,398,795,796,591,1825-08-31,1825-08-31,1825-10-01,1825-10-01,1825-09-15,1825.0,1825,671
D.4α ,faust://bibliography/D.4alpha,D.4α ,UnknownRef,,399,797,798,591,1825-08-31,1825-08-31,1825-10-01,1825-10-01,1825-09-15,1825.0,1825,672
2 III H.60 i_uebrige,faust://inscription/faustedition/2_III_H.60/i_uebrige,2 III H.60 i_uebrige,Inscription,2 III H.60,400,799,800,609,1825-12-14,1825-12-14,1826-05-19,1826-06-14,1826-03-02,1826.0,1825 … 1826,75
2 I H.9e*,faust://document/faustedition/2_I_H.9e_,2 I H.9e*,Witness,,401,801,802,610,1825-12-24,1825-12-24,1825-12-26,1825-12-26,1825-12-25,1825.0,1825,138
2 I H.9f,faust://document/faustedition/2_I_H.9f,2 I H.9f,Witness,,402,803,804,612,1825-12-24,,,,1825-12-24,1825.0,1825,139
2 I H.9g,faust://document/faustedition/2_I_H.9g,2 I H.9g,Witness,,403,805,806,612,1825-12-24,,,,1825-12-24,1825.0,1825,140
2 I H.9h,faust://document/faustedition/2_I_H.9h,2 I H.9h,Witness,,404,807,808,610,1825-12-24,1825-12-24,1825-12-26,1825-12-26,1825-12-25,1825.0,1825,141
2 I H.9i*,faust://document/faustedition/2_I_H.9i_,2 I H.9i*,Witness,,405,809,810,614,1825-12-24,1825-12-24,1825-12-26,1825-12-26,1825-12-25,1825.0,1825,142
H P176 Var i_r,faust://inscription/faustedition/H_P176_Var/i_r,H P176 Var i_r,Inscription,H P176 Var,406,811,812,611,1825-12-25,1825-12-25,1826-05-19,1826-06-25,1826-03-07,1826.0,1825 … 1826,686
1 H.17,faust://document/faustedition/1_H.17,1 H.17,Witness,,407,813,814,619,1825-12-31,1825-12-31,1827-01-01,1827-01-01,1826-07-02,1826.0,1826,20
2 III H.0,faust://document/faustedition/2_III_H.0,2 III H.0,Witness,,408,815,816,621,1826-02-02,1826-02-02,1826-08-03,1826-08-03,1826-05-04,1826.0,1826,304
2 III H.45,faust://document/faustedition/2_III_H.45,2 III H.45,Witness,,409,817,818,624,1826-03-11,1826-03-11,1826-05-19,1826-09-09,1826-04-14,1826.0,1826,382
2 III H.43,faust://document/faustedition/2_III_H.43,2 III H.43,Witness,,410,819,820,625,1826-03-13,1826-03-13,1826-04-15,1826-04-15,1826-03-29,1826.0,1826,379
2 III H.48a,faust://document/faustedition/2_III_H.48a,2 III H.48a,Witness,,411,821,822,625,1826-03-13,1826-03-13,1826-05-19,1826-09-11,1826-04-15,1826.0,1826,390
2 III H.55,faust://document/faustedition/2_III_H.55,2 III H.55,Witness,,412,823,824,625,1826-03-13,1826-03-13,1826-04-23,1826-06-25,1826-04-02,1826.0,1826,404
2 III H.70,faust://document/faustedition/2_III_H.70,2 III H.70,Witness,,413,825,826,627,1826-03-13,1826-03-13,1826-05-19,1826-06-06,1826-04-15,1826.0,1826,434
2 III H.72,faust://document/faustedition/2_III_H.72,2 III H.72,Witness,,414,827,828,629,1826-03-13,1826-02-02,1826-05-19,1826-08-03,1826-04-15,1826.0,1826,436
2 III H.78a,faust://document/faustedition/2_III_H.78a,2 III H.78a,Witness,,415,829,830,625,1826-03-13,1826-03-13,1826-05-19,1826-09-11,1826-04-15,1826.0,1826,446
2 III H.79,faust://document/faustedition/2_III_H.79,2 III H.79,Witness,,416,831,832,627,1826-03-13,1826-03-11,1826-05-19,1826-09-09,1826-04-15,1826.0,1826,447
2 III H.49 i_r_u,faust://inscription/faustedition/2_III_H.49/i_r_u,2 III H.49 i_r_u,Inscription,2 III H.49,417,833,834,625,1826-03-13,1826-03-13,1826-03-27,1826-03-27,1826-03-20,1826.0,1826,59
2 III H.58 i_r,faust://inscription/faustedition/2_III_H.58/i_r,2 III H.58 i_r,Inscription,2 III H.58,418,835,836,625,1826-03-13,1826-03-13,1826-06-25,1826-06-25,1826-05-04,1826.0,1826,51
2 III H.59b i_uebrige,faust://inscription/faustedition/2_III_H.59b/i_uebrige,2 III H.59b i_uebrige,Inscription,2 III H.59b,419,837,838,627,1826-03-13,1826-03-13,1826-05-19,1826-06-25,1826-04-15,1826.0,1826,74
2 III H.77,faust://document/faustedition/2_III_H.77,2 III H.77,Witness,,420,839,840,626,1826-03-14,1826-03-14,1826-03-16,1826-03-16,1826-03-15,1826.0,1826,444
2 III H.46,faust://document/faustedition/2_III_H.46,2 III H.46,Witness,,421,841,842,639,1826-03-30,1826-03-30,1826-04-01,1826-04-01,1826-03-31,1826.0,1826,385
H P168,faust://document/faustedition/H_P168,H P168,Witness,,422,843,844,646,1826-04-03,1826-04-03,1826-04-28,1826-04-28,1826-04-15,1826.0,1826,633
2 III H.50d,faust://document/faustedition/2_III_H.50d,2 III H.50d,Witness,,423,845,846,652,1826-04-18,1826-04-18,1826-04-20,1826-04-20,1826-04-19,1826.0,1826,399
2 III H.50c,faust://document/faustedition/2_III_H.50c,2 III H.50c,Witness,,424,847,848,656,1826-04-18,,1826-04-20,,1826-04-19,1826.0,1826,398
2 III H.51,faust://document/faustedition/2_III_H.51,2 III H.51,Witness,,425,849,850,658,1826-04-18,1826-04-08,1826-04-20,1826-04-20,1826-04-19,1826.0,1826,400
2 III H.53,faust://document/faustedition/2_III_H.53,2 III H.53,Witness,,426,851,852,658,1826-04-18,1826-02-21,1826-05-19,,1826-05-03,1826.0,1826,402
2 III H.52,faust://document/faustedition/2_III_H.52,2 III H.52,Witness,,427,853,854,662,1826-04-18,,1826-05-19,,1826-05-03,1826.0,1826,401
2 III H.54,faust://document/faustedition/2_III_H.54,2 III H.54,Witness,,428,855,856,663,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,403
2 III H.56,faust://document/faustedition/2_III_H.56,2 III H.56,Witness,,429,857,858,665,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,405
2 III H.56a,faust://document/faustedition/2_III_H.56a,2 III H.56a,Witness,,430,859,860,667,1826-04-21,,,,1826-04-21,1826.0,1826,406
2 III H.56b,faust://document/faustedition/2_III_H.56b,2 III H.56b,Witness,,431,861,862,669,1826-04-21,,,,1826-04-21,1826.0,1826,407
2 III H.56c,faust://document/faustedition/2_III_H.56c,2 III H.56c,Witness,,432,863,864,671,1826-04-21,,,,1826-04-21,1826.0,1826,408
fischer_lamberg: 2_III_H.22_2,faust://document/fischer_lamberg/2_III_H.22_2,fischer_lamberg: 2_III_H.22_2,UnknownRef,,433,865,866,663,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,93
fischer_lamberg: 2_III_H.22_3,faust://document/fischer_lamberg/2_III_H.22_3,fischer_lamberg: 2_III_H.22_3,UnknownRef,,434,867,868,663,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,94
2 III H.2a:2,faust://document/faustedition/2_III_H.2a_2,2 III H.2a:2,Witness,,435,869,870,669,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,310
fischer_lamberg: 2_III_H.22_4,faust://document/fischer_lamberg/2_III_H.22_4,fischer_lamberg: 2_III_H.22_4,UnknownRef,,436,871,872,663,1826-04-21,1826-04-21,1826-04-23,1826-04-23,1826-04-22,1826.0,1826,95
wa: 2_III_H.2alpha,faust://document/wa/2_III_H.2alpha,wa: 2_III_H.2alpha,UnknownRef,,437,873,874,667,1826-04-21,,1826-05-19,,1826-05-05,1826.0,1826,110
2 III H.71,faust://document/faustedition/2_III_H.71,2 III H.71,Witness,,438,875,876,683,1826-04-24,1826-04-24,1826-05-19,1826-10-23,1826-05-06,1826.0,1826,435
2 III H.64,faust://document/faustedition/2_III_H.64,2 III H.64,Witness,,439,877,878,689,1826-04-30,1826-04-30,1826-05-02,1826-05-02,1826-05-01,1826.0,1826,421
2 III H.63,faust://document/faustedition/2_III_H.63,2 III H.63,Witness,,440,879,880,691,1826-04-30,,1826-05-19,,1826-05-09,1826.0,1826,420
2 III H.67,faust://document/faustedition/2_III_H.67,2 III H.67,Witness,,441,881,882,687,1826-04-30,1826-04-30,1826-05-19,1826-10-29,1826-05-09,1826.0,1826,430
2 III H.59,faust://document/faustedition/2_III_H.59,2 III H.59,Witness,,442,883,884,693,1826-05-02,1826-05-02,1826-05-04,1826-05-04,1826-05-03,1826.0,1826,413
2 III H.33a,faust://document/faustedition/2_III_H.33a,2 III H.33a,Witness,,443,885,886,695,1826-05-02,1826-05-02,1826-05-04,1826-05-04,1826-05-03,1826.0,1826,367
2 III H.59a,faust://document/faustedition/2_III_H.59a,2 III H.59a,Witness,,444,887,888,695,1826-05-02,1825-04-07,1826-05-19,1826-06-25,1826-05-10,1826.0,1826,414
2 III H.57,faust://document/faustedition/2_III_H.57,2 III H.57,Witness,,445,889,890,697,1826-05-02,1826-03-13,1826-05-19,1826-06-25,1826-05-10,1826.0,1826,409
2 III H.57a,faust://document/faustedition/2_III_H.57a,2 III H.57a,Witness,,446,891,892,699,1826-05-02,,1826-05-19,,1826-05-10,1826.0,1826,410
2 III H.58,faust://document/faustedition/2_III_H.58,2 III H.58,Witness,,447,893,894,701,1826-05-02,1825-07-06,1826-05-19,,1826-05-10,1826.0,1826,411
2 III H.58a,faust://document/faustedition/2_III_H.58a,2 III H.58a,Witness,,448,895,896,703,1826-05-02,,,,1826-05-02,1826.0,1826,412
2 III H.59b,faust://document/faustedition/2_III_H.59b,2 III H.59b,Witness,,449,897,898,701,1826-05-02,,1826-05-19,,1826-05-10,1826.0,1826,415
2 III H.59c,faust://document/faustedition/2_III_H.59c,2 III H.59c,Witness,,450,899,900,707,1826-05-02,,1826-05-19,,1826-05-10,1826.0,1826,416
2 III H.78,faust://document/faustedition/2_III_H.78,2 III H.78,Witness,,451,901,902,704,1826-05-09,1826-05-09,1826-05-19,1826-05-25,1826-05-14,1826.0,1826,445
2 III H.7:4,faust://document/faustedition/2_III_H.7_4,2 III H.7:4,Witness,,452,903,904,706,1826-05-09,1826-05-09,1826-05-10,1826-05-10,1826-05-09,1826.0,1826,328
2 III H.2: … (2),faust://document/wa/2_III_H.2,2 III H.2: … (2),AmbiguousRef,,453,905,906,776,1826-05-09,1826-03-11,1826-05-19,,1826-05-14,1826.0,1826,306
2 III H.22,faust://document/faustedition/2_III_H.22,2 III H.22,Witness,,454,907,908,780,1826-05-09,,1826-05-26,,1826-05-17,1826.0,1826,349
2 III H.23b,faust://document/faustedition/2_III_H.23b,2 III H.23b,Witness,,455,909,910,782,1826-05-09,,,,1826-05-09,1826.0,1826,352
2 III H.23c,faust://document/faustedition/2_III_H.23c,2 III H.23c,Witness,,456,911,912,784,1826-05-09,,,,1826-05-09,1826.0,1826,353
2 III H.2a:4,faust://document/faustedition/2_III_H.2a_4,2 III H.2a:4,Witness,,457,913,914,778,1826-05-09,1825-04-02,1826-06-10,,1826-05-25,1826.0,1826,312
2 III H.2a:5,faust://document/faustedition/2_III_H.2a_5,2 III H.2a:5,Witness,,458,915,916,778,1826-05-09,1825-04-02,1826-05-19,,1826-05-14,1826.0,1826,313
2 III H.2a:1,faust://document/faustedition/2_III_H.2a_1,2 III H.2a:1,Witness,,459,917,918,780,1826-05-09,1825-04-02,1826-05-19,,1826-05-14,1826.0,1826,309
2 III H.7:5,faust://document/faustedition/2_III_H.7_5,2 III H.7:5,Witness,,460,919,920,778,1826-05-09,1826-03-24,1826-06-10,1826-06-25,1826-05-25,1826.0,1826,329
2 III H.8b,faust://document/faustedition/2_III_H.8b,2 III H.8b,Witness,,461,921,922,780,1826-05-09,1825-04-02,,,1826-05-09,1826.0,1826,332
2 III H.7:2,faust://document/faustedition/2_III_H.7_2,2 III H.7:2,Witness,,462,923,924,782,1826-05-09,,,,1826-05-09,1826.0,1826,326
2 III H.2a:1 ,faust://inscription/faustedition/2_III_H.2a_1/,2 III H.2a:1 ,Inscription,2 III H.2a:1,463,925,926,780,1826-05-09,,1826-05-19,,1826-05-14,1826.0,1826,21
fischer_lamberg: 2_III_H.22_1,faust://document/fischer_lamberg/2_III_H.22_1,fischer_lamberg: 2_III_H.22_1,UnknownRef,,464,927,928,778,1826-05-09,1826-04-21,1826-05-26,,1826-05-17,1826.0,1826,92
2 III H.7:3,faust://document/faustedition/2_III_H.7_3,2 III H.7:3,Witness,,465,929,930,784,1826-05-09,1826-05-09,1826-05-26,1826-05-26,1826-05-17,1826.0,1826,327
fischer_lamberg: 2_III_H.7__2-3,faust://document/fischer_lamberg/2_III_H.7__2-3,fischer_lamberg: 2_III_H.7__2-3,UnknownRef,,466,931,932,780,1826-05-09,,1826-06-10,,1826-05-25,1826.0,1826,91
2 III H.7: … (5),faust://document/wa/2_III_H.7,2 III H.7: … (5),AmbiguousRef,,467,933,934,788,1826-05-09,,1826-06-10,,1826-05-25,1826.0,1826,324
2 III H.2a:3,faust://document/faustedition/2_III_H.2a_3,2 III H.2a:3,Witness,,468,935,936,794,1826-05-09,1826-04-21,1826-06-10,,1826-05-25,1826.0,1826,311
wa: 2_III_H.IIIalpha,faust://document/wa/2_III_H.IIIalpha,wa: 2_III_H.IIIalpha,UnknownRef,,469,937,938,778,1826-05-09,,,,1826-05-09,1826.0,1826,114
H P140,faust://document/faustedition/H_P140,H P140,Witness,,470,939,940,780,1826-05-09,1825-03-20,,,1826-05-09,1826.0,1826,620
2 III H.7:1,faust://document/faustedition/2_III_H.7_1,2 III H.7:1,Witness,,471,941,942,787,1826-05-17,1826-05-17,1826-05-19,1826-05-19,1826-05-18,1826.0,1826,325
2 III H.3,faust://document/faustedition/2_III_H.3,2 III H.3,Witness,,472,943,944,791,1826-05-17,1825-12-25,1826-06-10,1826-06-25,1826-05-29,1826.0,1826,314
2 III H.3a: … (2),faust://document/wa/2_III_H.III,2 III H.3a: … (2),AmbiguousRef,,473,945,946,811,1826-05-17,1826-03-13,1826-06-10,1826-06-10,1826-05-29,1826.0,1826,315
2 III H.62,faust://document/faustedition/2_III_H.62,2 III H.62,Witness,,474,947,948,813,1826-05-17,,1832-06-06,,1829-05-27,1829.0,1826 … 1832,419
fischer_lamberg: P170a i_uebrige,faust://inscription/fischer_lamberg/P170a/i_uebrige,fischer_lamberg: P170a i_uebrige,Inscription,fischer_lamberg: P170a,475,949,950,793,1826-05-17,,,,1826-05-17,1826.0,1826,701
H P123.1,faust://document/faustedition/H_P123.1,H P123.1,Witness,,476,951,952,804,1826-06-09,1826-06-09,1826-06-11,1826-06-11,1826-06-10,1826.0,1826,607
fischer_lamberg: P170a i_1_o,faust://inscription/fischer_lamberg/P170a/i_1_o,fischer_lamberg: P170a i_1_o,Inscription,fischer_lamberg: P170a,477,953,954,825,1826-06-12,1826-06-12,1826-06-14,1826-06-14,1826-06-13,1826.0,1826,700
2 III H.50a,faust://document/faustedition/2_III_H.50a,2 III H.50a,Witness,,478,955,956,830,1826-06-21,1826-06-21,1826-12-20,1826-12-20,1826-09-20,1826.0,1826,396
H P78,faust://document/faustedition/H_P78,H P78,Witness,,479,957,958,837,1826-07-03,1826-07-03,1827-01-01,1827-01-01,1826-10-02,1826.0,1826,585
2 III H.3b,faust://document/faustedition/2_III_H.3b,2 III H.3b,Witness,,480,959,960,849,1826-10-26,1826-10-26,1827-04-26,1827-04-26,1827-01-25,1827.0,1826 … 1827,318
H P99.1,faust://document/faustedition/H_P99.1,H P99.1,Witness,,481,961,962,851,1826-11-08,1826-11-08,1826-11-10,1826-11-10,1826-11-09,1826.0,1826,595
H P99.2,faust://document/faustedition/H_P99.2,H P99.2,Witness,,482,963,964,854,1826-11-09,1826-11-09,1826-11-11,1826-11-11,1826-11-10,1826.0,1826,596
H P123.2,faust://document/faustedition/H_P123.2,H P123.2,Witness,,483,965,966,860,1826-12-14,1826-12-14,1826-12-16,1826-12-16,1826-12-15,1826.0,1826,608
H P123.5,faust://document/faustedition/H_P123.5,H P123.5,Witness,,484,967,968,863,1826-12-16,1826-12-16,1826-12-18,1826-12-18,1826-12-17,1826.0,1826,611
2 III H.73,faust://document/faustedition/2_III_H.73,2 III H.73,Witness,,485,969,970,876,1827-01-26,1827-01-26,1827-02-07,1827-02-07,1827-02-01,1827.0,1827,437
2 III H.74,faust://document/faustedition/2_III_H.74,2 III H.74,Witness,,486,971,972,881,1827-02-15,1827-02-15,1827-02-17,1827-02-17,1827-02-16,1827.0,1827,438
2 III H.75,faust://document/faustedition/2_III_H.75,2 III H.75,Witness,,487,973,974,883,1827-02-15,,1827-03-19,,1827-03-03,1827.0,1827,439
2 III H.75a,faust://document/faustedition/2_III_H.75a,2 III H.75a,Witness,,488,975,976,885,1827-02-15,,1827-03-29,,1827-03-08,1827.0,1827,441
2 III H.75b,faust://document/faustedition/2_III_H.75b,2 III H.75b,Witness,,489,977,978,887,1827-02-15,1826-09-28,1827-03-29,1827-03-29,1827-03-08,1827.0,1827,442
2 III H.75 … (2),faust://document/fischer_lamberg/2_III_H.75a,2 III H.75 … (2),AmbiguousRef,,490,979,980,885,1827-02-15,1826-09-18,1827-03-19,1827-03-19,1827-03-03,1827.0,1827,440
2 II H.4,faust://document/faustedition/2_II_H.4,2 II H.4,Witness,,491,981,982,891,1827-03-21,1827-03-21,1827-09-19,1827-09-19,1827-06-20,1827.0,1827,220
C.1 4,faust://document/faustedition/C.1_4,C.1 4,Witness,,492,983,984,897,1827-04-14,1827-04-14,1827-06-01,1827-06-01,1827-05-08,1827.0,1827,660
2 I H.9 … (3),faust://document/wa/2_I_H.9,2 I H.9 … (3),AmbiguousRef,,493,985,986,907,1827-06-10,1827-06-10,1827-12-09,1827-12-09,1827-09-09,1827.0,1827,132
H P108b,faust://document/faustedition/H_P108b,H P108b,Witness,,494,987,988,908,1827-07-21,1827-07-21,1827-10-02,1827-10-02,1827-08-26,1827.0,1827,603
H P108c,faust://document/faustedition/H_P108c,H P108c,Witness,,495,989,990,908,1827-07-21,1827-07-21,1827-10-02,1827-10-02,1827-08-26,1827.0,1827,604
H P101,faust://document/faustedition/H_P101,H P101,Witness,,496,991,992,909,1827-07-31,1827-07-31,1827-08-05,1827-08-05,1827-08-02,1827.0,1827,597
H P101a,faust://document/faustedition/H_P101a,H P101a,Witness,,497,993,994,911,1827-07-31,1826-12-31,1829-01-01,1829-01-01,1828-04-16,1828.0,1827 … 1828,598
H P102,faust://document/faustedition/H_P102,H P102,Witness,,498,995,996,913,1827-08-10,1827-08-10,1827-10-02,1827-10-12,1827-09-05,1827.0,1827,599
2 I H.12: … (2),faust://document/wa/2_I_H.12,2 I H.12: … (2),AmbiguousRef,,499,997,998,915,1827-08-10,1827-07-21,1827-10-02,1827-10-02,1827-09-05,1827.0,1827,151
2 I H.11,faust://document/faustedition/2_I_H.11,2 I H.11,Witness,,500,999,1000,914,1827-08-31,1827-08-31,1828-04-01,1828-04-01,1827-12-16,1827.0,1827 … 1828,150
2 II H.1,faust://document/faustedition/2_II_H.1,2 II H.1,Witness,,501,1001,1002,916,1827-09-11,1827-09-11,1828-03-11,1828-03-11,1827-12-11,1827.0,1827 … 1828,214
2 I H.13,faust://document/faustedition/2_I_H.13,2 I H.13,Witness,,502,1003,1004,916,1827-09-11,1827-09-11,1827-09-13,1827-09-13,1827-09-12,1827.0,1827,155
2 I H.24,faust://document/faustedition/2_I_H.24,2 I H.24,Witness,,503,1005,1006,916,1827-09-11,1827-09-11,1827-11-18,1827-11-18,1827-10-15,1827.0,1827,169
2 I H.5,faust://document/faustedition/2_I_H.5,2 I H.5,Witness,,504,1007,1008,916,1827-09-11,1827-09-11,1827-11-18,1827-11-18,1827-10-15,1827.0,1827,127
2 I H.19 i_uebrige,faust://inscription/faustedition/2_I_H.19/i_uebrige,2 I H.19 i_uebrige,Inscription,2 I H.19,505,1009,1010,916,1827-09-11,1827-09-11,1828-01-01,1828-01-01,1827-11-06,1827.0,1827,70
2 I H.9k,faust://document/faustedition/2_I_H.9k,2 I H.9k,Witness,,506,1011,1012,923,1827-09-23,1827-09-23,1827-12-09,1827-12-09,1827-10-31,1827.0,1827,143
2 I H.9l*,faust://document/faustedition/2_I_H.9l_,2 I H.9l*,Witness,,507,1013,1014,925,1827-09-23,,,,1827-09-23,1827.0,1827,144
inscription: wa 2_I_H.10,faust://inscription/wa/2_I_H.10,inscription: wa 2_I_H.10,UnknownRef,,508,1015,1016,923,1827-09-23,1827-09-23,1827-09-30,1827-09-30,1827-09-26,1827.0,1827,105
2 II H.2:3,faust://document/faustedition/2_II_H.2_3,2 II H.2:3,Witness,,509,1017,1018,924,1827-09-26,1827-09-26,1828-03-26,1828-03-26,1827-12-26,1827.0,1827 … 1828,218
2 I H.22,faust://document/faustedition/2_I_H.22,2 I H.22,Witness,,510,1019,1020,924,1827-09-26,1827-09-26,1827-10-08,1827-10-08,1827-10-02,1827.0,1827,167
fischer-lamberg: 2_II_H.2d,faust://document/fischer-lamberg/2_II_H.2d,fischer-lamberg: 2_II_H.2d,UnknownRef,,511,1021,1022,924,1827-09-26,1827-09-26,1828-03-26,1828-03-26,1827-12-26,1827.0,1827 … 1828,90
2 II H.2:1,faust://document/faustedition/2_II_H.2_1,2 II H.2:1,Witness,,512,1023,1024,925,1827-09-28,1827-09-28,1828-03-28,1828-03-28,1827-12-28,1827.0,1827 … 1828,215
2 I H.17,faust://document/faustedition/2_I_H.17,2 I H.17,Witness,,513,1025,1026,945,1827-10-01,1827-10-01,1828-03-31,1828-03-31,1827-12-31,1827.0,1827 … 1828,162
2 I H.8,faust://document/faustedition/2_I_H.8,2 I H.8,Witness,,514,1027,1028,944,1827-10-16,1827-10-16,1827-12-09,1828-04-15,1827-11-12,1827.0,1827,131
2 I H.15,faust://document/faustedition/2_I_H.15,2 I H.15,Witness,,515,1029,1030,945,1827-10-31,1827-10-31,1828-01-01,1828-01-01,1827-12-01,1827.0,1827,157
2 I H.15a,faust://document/faustedition/2_I_H.15a,2 I H.15a,Witness,,516,1031,1032,947,1827-10-31,,,,1827-10-31,1827.0,1827,158
2 I H.25,faust://document/faustedition/2_I_H.25,2 I H.25,Witness,,517,1033,1034,946,1827-11-04,1827-11-04,1827-11-16,1827-11-16,1827-11-10,1827.0,1827,173
2 I H.26,faust://document/faustedition/2_I_H.26,2 I H.26,Witness,,518,1035,1036,948,1827-11-04,1827-11-04,1827-11-16,1827-11-16,1827-11-10,1827.0,1827,174
