,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 III H.23,faust://document/faustedition/2_III_H.23,2 III H.23,Witness,,259,517,518,268,1822-09-29,1822-09-29,1822-10-01,1822-10-01,1822-09-30,1822.0,1822,350
2 III H.23a*,faust://document/faustedition/2_III_H.23a_,2 III H.23a*,Witness,,260,519,520,270,1822-09-29,,1826-05-26,,1824-07-27,1824.0,1822 … 1826,351
2 III H.6:1,faust://document/faustedition/2_III_H.6_1,2 III H.6:1,Witness,,261,521,522,268,1822-09-29,1822-09-29,1825-03-30,1825-04-06,1823-12-29,1823.0,1822 … 1825,321
2 III H.50b,faust://document/faustedition/2_III_H.50b,2 III H.50b,Witness,,262,523,524,273,1823-12-22,1823-12-22,1826-04-20,1826-06-25,1825-02-19,1825.0,1823 … 1826,397
2 III H.65,faust://document/faustedition/2_III_H.65,2 III H.65,Witness,,263,525,526,277,1824-04-11,1824-04-11,1824-10-10,1824-10-10,1824-07-11,1824.0,1824,427
2 III H.66a,faust://document/faustedition/2_III_H.66a,2 III H.66a,Witness,,264,527,528,279,1824-04-11,,1826-05-19,,1825-04-30,1825.0,1824 … 1826,429
2 III H.80,faust://document/faustedition/2_III_H.80,2 III H.80,Witness,,265,529,530,280,1824-04-12,1824-04-12,1824-04-14,1824-04-14,1824-04-13,1824.0,1824,448
1 H.16,faust://document/faustedition/1_H.16,1 H.16,Witness,,266,531,532,286,1824-07-30,1824-07-30,1826-07-01,1826-07-01,1825-07-15,1825.0,1824 … 1826,19
2 III H.27 i_v,faust://inscription/faustedition/2_III_H.27/i_v,2 III H.27 i_v,Inscription,2 III H.27,267,533,534,290,1824-10-06,1824-10-06,1825-04-06,1825-04-06,1825-01-05,1825.0,1824 … 1825,87
2 III H.49 i_uebrige,faust://inscription/faustedition/2_III_H.49/i_uebrige,2 III H.49 i_uebrige,Inscription,2 III H.49,268,535,536,297,1824-11-05,1824-11-05,1825-05-06,1825-05-06,1825-02-04,1825.0,1824 … 1825,73
H P195,faust://document/faustedition/H_P195,H P195,Witness,,269,537,538,308,1825-02-23,1825-02-23,1825-02-26,1825-02-26,1825-02-24,1825.0,1825,648
H P194,faust://document/faustedition/H_P194,H P194,Witness,,270,539,540,310,1825-02-23,,1825-03-05,,1825-02-28,1825.0,1825,647
2 V H.15,faust://document/faustedition/2_V_H.15,2 V H.15,Witness,,271,541,542,309,1825-02-24,1825-02-24,1825-03-13,1825-03-13,1825-03-04,1825.0,1825,513
2 V H.20,faust://document/faustedition/2_V_H.20,2 V H.20,Witness,,272,543,544,309,1825-02-24,1825-02-24,1825-02-27,1825-04-01,1825-02-25,1825.0,1825,520
2 V H.24,faust://document/faustedition/2_V_H.24,2 V H.24,Witness,,273,545,546,309,1825-02-24,1825-02-24,1825-03-07,1825-04-01,1825-03-01,1825.0,1825,524
2 V H.27,faust://document/faustedition/2_V_H.27,2 V H.27,Witness,,274,547,548,309,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,528
2 V H.4,faust://document/faustedition/2_V_H.4,2 V H.4,Witness,,275,549,550,311,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,499
2 V H.3,faust://document/faustedition/2_V_H.3,2 V H.3,Witness,,276,551,552,317,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,498
2 V H.28 alpha,faust://inscription/faustedition/2_V_H.28/alpha,2 V H.28 alpha,Inscription,2 V H.28,277,553,554,311,1825-02-24,,1825-03-05,,1825-02-28,1825.0,1825,26
2 V H.25,faust://document/faustedition/2_V_H.25,2 V H.25,Witness,,278,555,556,313,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,525
2 V H.19,faust://document/faustedition/2_V_H.19,2 V H.19,Witness,,279,557,558,317,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,519
2 V H.28,faust://document/faustedition/2_V_H.28,2 V H.28,Witness,,280,559,560,315,1825-02-24,1825-02-24,1825-03-05,1825-03-05,1825-02-28,1825.0,1825,529
2 V H.29,faust://document/faustedition/2_V_H.29,2 V H.29,Witness,,281,561,562,317,1825-02-24,1825-02-24,1825-03-17,1825-04-01,1825-03-06,1825.0,1825,530
2 V H.29 i_r,faust://inscription/faustedition/2_V_H.29/i_r,2 V H.29 i_r,Inscription,2 V H.29,282,563,564,317,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,48
2 V H.29 i_v,faust://inscription/faustedition/2_V_H.29/i_v,2 V H.29 i_v,Inscription,2 V H.29,283,565,566,317,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,81
2 III H.30,faust://document/faustedition/2_III_H.30,2 III H.30,Witness,,284,567,568,312,1825-02-25,1825-02-25,1825-03-08,1825-03-08,1825-03-02,1825.0,1825,363
2 III H.34,faust://document/faustedition/2_III_H.34,2 III H.34,Witness,,285,569,570,314,1825-02-25,1825-02-25,1825-04-01,1825-04-06,1825-03-14,1825.0,1825,368
2 III H.26,faust://document/faustedition/2_III_H.26,2 III H.26,Witness,,286,571,572,316,1825-02-25,,1825-04-06,,1825-03-17,1825.0,1825,359
2 III H.32,faust://document/faustedition/2_III_H.32,2 III H.32,Witness,,287,573,574,316,1825-02-25,,1825-04-01,,1825-03-14,1825.0,1825,365
2 III H.36,faust://document/faustedition/2_III_H.36,2 III H.36,Witness,,288,575,576,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,370
2 III H.35,faust://document/faustedition/2_III_H.35,2 III H.35,Witness,,289,577,578,312,1825-02-25,1822-09-29,1825-04-06,,1825-03-17,1825.0,1825,369
2 III H.47,faust://document/faustedition/2_III_H.47,2 III H.47,Witness,,290,579,580,310,1825-02-25,1825-02-25,1826-03-27,1826-03-27,1825-09-10,1825.0,1825 … 1826,388
2 III H.6:2,faust://document/faustedition/2_III_H.6_2,2 III H.6:2,Witness,,291,581,582,310,1825-02-25,1825-02-25,1825-03-30,1825-04-06,1825-03-13,1825.0,1825,323
2 V H.15b,faust://document/faustedition/2_V_H.15b,2 V H.15b,Witness,,292,583,584,310,1825-02-25,1825-02-25,1825-03-17,1825-04-06,1825-03-07,1825.0,1825,515
2 III H.5 i_r_r,faust://inscription/faustedition/2_III_H.5/i_r_r,2 III H.5 i_r_r,Inscription,2 III H.5,293,585,586,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,58
2 III H.5 i_uebrige,faust://inscription/faustedition/2_III_H.5/i_uebrige,2 III H.5 i_uebrige,Inscription,2 III H.5,294,587,588,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,72
2 III H.8 i_r,faust://inscription/faustedition/2_III_H.8/i_r,2 III H.8 i_r,Inscription,2 III H.8,295,589,590,312,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,52
