,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
H P157,faust://document/faustedition/H_P157,H P157,Witness,,678,850,1408,779,,,,,,,,624
2 V H.38a,faust://document/faustedition/2_V_H.38a,2 V H.38a,Witness,,679,589,1409,785,,,,,,,,551
2 V H.37a i_r,faust://inscription/faustedition/2_V_H.37a/i_r,2 V H.37a i_r,Inscription,2 V H.37a,680,692,1410,784,,,,,,,,45
2 V H.37a i_v,faust://inscription/faustedition/2_V_H.37a/i_v,2 V H.37a i_v,Inscription,2 V H.37a,681,693,1411,782,,,,,,,,77
2 V H.37a,faust://document/faustedition/2_V_H.37a,2 V H.37a,Witness,,682,578,1412,787,,,,,,,,542
landeck: 2_V_H.h,faust://document/landeck/2_V_H.h,landeck: 2_V_H.h,UnknownRef,,683,720,1413,781,,,,,,,,99
2 II H.70,faust://document/faustedition/2_II_H.70,2 II H.70,Witness,,684,322,1414,806,,,,,,,,299
landeck: 2_V_H.1I,faust://document/landeck/2_V_H.1I,landeck: 2_V_H.1I,UnknownRef,,685,715,1415,806,,,,,,,,100
landeck: 2_V_H.1II,faust://document/landeck/2_V_H.1II,landeck: 2_V_H.1II,UnknownRef,,686,716,1416,808,,,,,,,,102
landeck: 2_V_H.1III,faust://document/landeck/2_V_H.1III,landeck: 2_V_H.1III,UnknownRef,,687,717,1417,806,,,,,,,,101
2 V H.34,faust://document/faustedition/2_V_H.34,2 V H.34,Witness,,688,572,1418,811,,,,,,,,537
2 V H.35,faust://document/faustedition/2_V_H.35,2 V H.35,Witness,,689,573,1419,811,,,,,,,,538
2 V H.37b,faust://document/faustedition/2_V_H.37b,2 V H.37b,Witness,,690,579,1420,814,,,,,,,,543
2 V H.32a i_r,faust://inscription/faustedition/2_V_H.32a/i_r,2 V H.32a i_r,Inscription,2 V H.32a,691,686,1421,821,,,,,,,,50
2 V H.32a i_v,faust://inscription/faustedition/2_V_H.32a/i_v,2 V H.32a i_v,Inscription,2 V H.32a,692,687,1422,823,,,,,,,,85
2 V H.32a,faust://document/faustedition/2_V_H.32a,2 V H.32a,Witness,,693,570,1423,825,,,,,,,,535
2 V H.33 i_uebrige,faust://inscription/faustedition/2_V_H.33/i_uebrige,2 V H.33 i_uebrige,Inscription,2 V H.33,694,691,1424,824,,,,,,,,70
2 V H.37 … (2),faust://document/wa/2_V_H.g,2 V H.37 … (2),AmbiguousRef,,695,763,1425,812,,,,,,,,546
H P196,faust://document/faustedition/H_P196,H P196,Witness,,696,891,1426,812,,,,,,,,649
2 V H.16,faust://document/faustedition/2_V_H.16,2 V H.16,Witness,,697,546,1427,839,,,,,,,,516
2 V H.37,faust://document/faustedition/2_V_H.37,2 V H.37,Witness,,698,577,1428,839,,,,,,,,541
2 V H.33 i_3_r,faust://inscription/faustedition/2_V_H.33/i_3_r,2 V H.33 i_3_r,Inscription,2 V H.33,699,688,1429,841,,,,,,,,39
2 V H.33 i_3_v,faust://inscription/faustedition/2_V_H.33/i_3_v,2 V H.33 i_3_v,Inscription,2 V H.33,700,690,1430,841,,,,,,,,40
2 V H.33,faust://document/faustedition/2_V_H.33,2 V H.33,Witness,,701,571,1431,852,,,,,,,,536
2 V H.0b,faust://document/faustedition/2_V_H.0b,2 V H.0b,Witness,,702,525,1432,852,,,,,,,,490
2 V H.0a,faust://document/faustedition/2_V_H.0a,2 V H.0a,Witness,,703,524,1433,851,,,,,,,,489
2 V H.0f,faust://document/faustedition/2_V_H.0f,2 V H.0f,Witness,,704,531,1434,851,,,,,,,,494
2 V H.0c,faust://document/faustedition/2_V_H.0c,2 V H.0c,Witness,,705,526,1435,852,,,,,,,,491
2 V H.38,faust://document/faustedition/2_V_H.38,2 V H.38,Witness,,706,588,1436,853,,,,,,,,550
2 IV H.6: … (2),faust://document/wa/2_IV_H.6,2 IV H.6: … (2),AmbiguousRef,,707,753,1437,856,,,,,,,,457
H P197a,faust://document/faustedition/H_P197a,H P197a,Witness,,708,892,1438,853,,,,,,,,650
H P188a,faust://document/faustedition/H_P188a,H P188a,Witness,,709,882,1439,855,,,,,,,,643
H P190a,faust://document/faustedition/H_P190a,H P190a,Witness,,710,885,1440,862,,,,,,,,645
2 IV H.22 i_1_r,faust://inscription/faustedition/2_IV_H.22/i_1_r,2 IV H.22 i_1_r,Inscription,2 IV H.22,711,643,1441,867,,,,,,,,36
2 IV H.22 i_uebrige,faust://inscription/faustedition/2_IV_H.22/i_uebrige,2 IV H.22 i_uebrige,Inscription,2 IV H.22,712,644,1442,864,,,,,,,,64
2 IV H.22,faust://document/faustedition/2_IV_H.22,2 IV H.22,Witness,,713,359,1443,869,,,,,,,,480
2 IV H.22b,faust://document/faustedition/2_IV_H.22b,2 IV H.22b,Witness,,714,362,1444,871,,,,,,,,482
2 IV H.8,faust://document/faustedition/2_IV_H.8,2 IV H.8,Witness,,715,386,1445,885,,,,,,,,463
2 IV H.2,faust://document/faustedition/2_IV_H.2,2 IV H.2,Witness,,716,353,1446,876,,,,,,,,453
2 IV H.5,faust://document/faustedition/2_IV_H.5,2 IV H.5,Witness,,717,375,1447,873,,,,,,,,456
2 IV H.18,faust://document/faustedition/2_IV_H.18,2 IV H.18,Witness,,718,351,1448,877,,,,,,,,475
2 IV H.21a,faust://document/faustedition/2_IV_H.21a,2 IV H.21a,Witness,,719,358,1449,876,,,,,,,,479
