,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 I H.24a,faust://document/faustedition/2_I_H.24a,2 I H.24a,Witness,,121,436,435,0,,,,,,,,170
2 I H.24c,faust://document/faustedition/2_I_H.24c,2 I H.24c,Witness,,122,438,439,6,,,,,,,,172
2 I H.27,faust://document/faustedition/2_I_H.27,2 I H.27,Witness,,123,442,443,4,,,,,,,,175
2 I H.28,faust://document/faustedition/2_I_H.28,2 I H.28,Witness,,124,444,446,4,,,,,,,,176
2 I H.31,faust://document/faustedition/2_I_H.31,2 I H.31,Witness,,125,449,450,4,,,,,,,,179
2 I H.30,faust://document/faustedition/2_I_H.30,2 I H.30,Witness,,126,448,454,4,,,,,,,,178
2 I H.41a,faust://document/faustedition/2_I_H.41a,2 I H.41a,Witness,,127,464,465,6,,,,,,,,191
2 I H.43a,faust://document/faustedition/2_I_H.43a,2 I H.43a,Witness,,128,468,469,5,,,,,,,,194
2 I H.44,faust://document/faustedition/2_I_H.44,2 I H.44,Witness,,129,470,472,4,,,,,,,,195
2 I H.49,faust://document/faustedition/2_I_H.49,2 I H.49,Witness,,130,476,479,4,,,,,,,,200
2 I H.50,faust://document/faustedition/2_I_H.50,2 I H.50,Witness,,131,478,482,6,,,,,,,,201
2 I H.51,faust://document/faustedition/2_I_H.51,2 I H.51,Witness,,132,483,484,2,,,,,,,,204
2 I H.52,faust://document/faustedition/2_I_H.52,2 I H.52,Witness,,133,485,486,4,,,,,,,,205
2 I H.53,faust://document/faustedition/2_I_H.53,2 I H.53,Witness,,134,487,488,5,,,,,,,,206
2 I H.54,faust://document/faustedition/2_I_H.54,2 I H.54,Witness,,135,489,490,2,,,,,,,,207
2 I H.55,faust://document/faustedition/2_I_H.55,2 I H.55,Witness,,136,491,492,5,,,,,,,,208
2 II H.12,faust://document/faustedition/2_II_H.12,2 II H.12,Witness,,137,219,494,8,,,,,,,,234
2 I H.6a,faust://document/faustedition/2_I_H.6a,2 I H.6a,Witness,,138,501,500,0,,,,,,,,129
2 I H.9b,faust://document/faustedition/2_I_H.9b,2 I H.9b,Witness,,139,506,507,4,,,,,,,,135
2 I H.9f,faust://document/faustedition/2_I_H.9f,2 I H.9f,Witness,,140,511,512,4,,,,,,,,139
2 I H.9g,faust://document/faustedition/2_I_H.9g,2 I H.9g,Witness,,141,513,514,4,,,,,,,,140
2 I H.9l*,faust://document/faustedition/2_I_H.9l_,2 I H.9l*,Witness,,142,518,519,4,,,,,,,,144
2 V H.0d,faust://document/faustedition/2_V_H.0d,2 V H.0d,Witness,,143,528,527,0,,,,,,,,492
2 V H.0e,faust://document/faustedition/2_V_H.0e,2 V H.0e,Witness,,144,530,529,0,,,,,,,,493
2 V H.12:1,faust://document/faustedition/2_V_H.12_1,2 V H.12:1,Witness,,145,535,536,4,,,,,,,,508
2 V H.12:2,faust://document/faustedition/2_V_H.12_2,2 V H.12:2,Witness,,146,537,538,2,,,,,,,,509
2 V H.14a*,faust://document/faustedition/2_V_H.14a_,2 V H.14a*,Witness,,147,542,541,0,,,,,,,,512
2 V H.1,faust://document/faustedition/2_V_H.1,2 V H.1,Witness,,148,532,552,6,,,,,,,,495
2 V H.19,faust://document/faustedition/2_V_H.19,2 V H.19,Witness,,149,549,559,8,,,,,,,,519
2 V H.35a*,faust://document/faustedition/2_V_H.35a_,2 V H.35a*,Witness,,150,575,574,0,,,,,,,,539
2 V H.37d,faust://document/faustedition/2_V_H.37d,2 V H.37d,Witness,,151,582,581,0,,,,,,,,545
2 V H.37e,faust://document/faustedition/2_V_H.37e,2 V H.37e,Witness,,152,583,584,2,,,,,,,,547
2 V H.37f,faust://document/faustedition/2_V_H.37f,2 V H.37f,Witness,,153,585,586,6,,,,,,,,548
2 III H.1 alpha,faust://inscription/faustedition/2_III_H.1/alpha,2 III H.1 alpha,Inscription,2 III H.1,154,596,597,5,,,,,,,,25
2 III H.27 alpha,faust://inscription/faustedition/2_III_H.27/alpha,2 III H.27 alpha,Inscription,2 III H.27,155,598,599,3,,,,,,,,30
2 III H.2a:1 ,faust://inscription/faustedition/2_III_H.2a_1/,2 III H.2a:1 ,Inscription,2 III H.2a:1,156,602,603,5,,,,,,,,21
2 III H.30 alpha,faust://inscription/faustedition/2_III_H.30/alpha,2 III H.30 alpha,Inscription,2 III H.30,157,604,605,3,,,,,,,,31
2 III H.59c,faust://document/faustedition/2_III_H.59c,2 III H.59c,Witness,,158,150,613,10,,,,,,,,416
2 III H.70 alpha,faust://inscription/faustedition/2_III_H.70/alpha,2 III H.70 alpha,Inscription,2 III H.70,159,615,616,3,,,,,,,,33
2 III H.71 alpha,faust://inscription/faustedition/2_III_H.71/alpha,2 III H.71 alpha,Inscription,2 III H.71,160,617,618,3,,,,,,,,32
2 II H.72,faust://document/faustedition/2_II_H.72,2 II H.72,Witness,,161,324,625,8,,,,,,,,301
2 II H.69 alpha,faust://inscription/faustedition/2_II_H.69/alpha,2 II H.69 alpha,Inscription,2 II H.69,162,624,626,5,,,,,,,,26
2 II H.69,faust://document/faustedition/2_II_H.69,2 II H.69,Witness,,163,316,627,10,,,,,,,,298
2 II H.71 alpha,faust://inscription/faustedition/2_II_H.71/alpha,2 II H.71 alpha,Inscription,2 II H.71,164,628,629,3,,,,,,,,29
2 II H.7,faust://document/faustedition/2_II_H.7,2 II H.7,Witness,,165,321,633,7,,,,,,,,227
2 II H.74 i_2,faust://inscription/faustedition/2_II_H.74/i_2,2 II H.74 i_2,Inscription,2 II H.74,166,630,634,6,,,,,,,,37
2 II H.74 i_23_m,faust://inscription/faustedition/2_II_H.74/i_23_m,2 II H.74 i_23_m,Inscription,2 II H.74,167,631,635,6,,,,,,,,38
2 IV H.11,faust://document/faustedition/2_IV_H.11,2 IV H.11,Witness,,168,338,638,9,,,,,,,,466
2 IV H.12 i_v_o,faust://inscription/faustedition/2_IV_H.12/i_v_o,2 IV H.12 i_v_o,Inscription,2 IV H.12,169,637,639,3,,,,,,,,89
2 IV H.20 i_uebrige,faust://inscription/faustedition/2_IV_H.20/i_uebrige,2 IV H.20 i_uebrige,Inscription,2 IV H.20,170,641,642,3,,,,,,,,63
2 I H.20,faust://document/faustedition/2_I_H.20,2 I H.20,Witness,,171,429,648,7,,,,,,,,165
2 I H.21 alpha,faust://inscription/faustedition/2_I_H.21/alpha,2 I H.21 alpha,Inscription,2 I H.21,172,647,649,3,,,,,,,,34
2 I H.21,faust://document/faustedition/2_I_H.21,2 I H.21,Witness,,173,430,650,6,,,,,,,,166
2 I H.32 alpha,faust://inscription/faustedition/2_I_H.32/alpha,2 I H.32 alpha,Inscription,2 I H.32,174,651,652,3,,,,,,,,35
2 V H.18,faust://document/faustedition/2_V_H.18,2 V H.18,Witness,,175,548,662,5,,,,,,,,518
2 V H.2 alpha,faust://inscription/faustedition/2_V_H.2/alpha,2 V H.2 alpha,Inscription,2 V H.2,176,663,664,7,,,,,,,,23
2 V H.26 i_r,faust://inscription/faustedition/2_V_H.26/i_r,2 V H.26 i_r,Inscription,2 V H.26,177,667,668,8,,,,,,,,49
2 V H.26 i_v,faust://inscription/faustedition/2_V_H.26/i_v,2 V H.26 i_v,Inscription,2 V H.26,178,669,670,10,,,,,,,,81
2 V H.26,faust://document/faustedition/2_V_H.26,2 V H.26,Witness,,179,560,671,15,,,,,,,,526
2 V H.28 alpha,faust://inscription/faustedition/2_V_H.28/alpha,2 V H.28 alpha,Inscription,2 V H.28,180,672,673,5,,,,,,,,24
2 V H.29 i_r,faust://inscription/faustedition/2_V_H.29/i_r,2 V H.29 i_r,Inscription,2 V H.29,181,674,675,5,,,,,,,,46
2 V H.29 i_v,faust://inscription/faustedition/2_V_H.29/i_v,2 V H.29 i_v,Inscription,2 V H.29,182,676,677,5,,,,,,,,84
2 V H.3 alpha,faust://inscription/faustedition/2_V_H.3/alpha,2 V H.3 alpha,Inscription,2 V H.3,183,678,679,3,,,,,,,,28
2 V H.31 i_r_o,faust://inscription/faustedition/2_V_H.31/i_r_o,2 V H.31 i_r_o,Inscription,2 V H.31,184,680,681,5,,,,,,,,57
2 V H.32a alpha,faust://inscription/faustedition/2_V_H.32a/alpha,2 V H.32a alpha,Inscription,2 V H.32a,185,684,685,4,,,,,,,,27
2 V H.36,faust://document/faustedition/2_V_H.36,2 V H.36,Witness,,186,576,689,5,,,,,,,,540
2 V H.37c,faust://document/faustedition/2_V_H.37c,2 V H.37c,Witness,,187,580,694,17,,,,,,,,544
2 V H.4 i_v,faust://inscription/faustedition/2_V_H.4/i_v,2 V H.4 i_v,Inscription,2 V H.4,188,696,697,7,,,,,,,,78
2 V H.8 i_r,faust://inscription/faustedition/2_V_H.8/i_r,2 V H.8 i_r,Inscription,2 V H.8,189,698,699,5,,,,,,,,47
fischer_lamberg: 2_III_H.15 ,faust://inscription/fischer_lamberg/2_III_H.15/,fischer_lamberg: 2_III_H.15 ,Inscription,fischer_lamberg: 2_III_H.15,190,710,711,8,,,,,,,,98
fischer_lamberg: 2_III_H.15,faust://document/fischer_lamberg/2_III_H.15,fischer_lamberg: 2_III_H.15,UnknownRef,,191,702,712,6,,,,,,,,97
landeck: 2_H,faust://document/landeck/2_H,landeck: 2_H,UnknownRef,,192,713,714,4,,,,,,,,104
landeck: 2_V_H.33I,faust://document/landeck/2_V_H.33I,landeck: 2_V_H.33I,UnknownRef,,193,718,719,13,,,,,,,,103
wa: 2_III_H.15II,faust://document/wa/2_III_H.15II,wa: 2_III_H.15II,UnknownRef,,194,722,723,6,,,,,,,,111
2 III H.69,faust://document/faustedition/2_III_H.69,2 III H.69,Witness,,195,176,725,8,,,,,,,,432
fischer_lamberg: 2_III_H.22_5,faust://document/fischer_lamberg/2_III_H.22_5,fischer_lamberg: 2_III_H.22_5,UnknownRef,,196,707,726,4,,,,,,,,96
fischer_lamberg: 2_III_H.7__2-3,faust://document/fischer_lamberg/2_III_H.7__2-3,fischer_lamberg: 2_III_H.7__2-3,UnknownRef,,197,709,727,7,,,,,,,,92
wa: 2_III_H.2_alpha,faust://document/wa/2_III_H.2_alpha,wa: 2_III_H.2_alpha,UnknownRef,,198,728,729,2,,,,,,,,114
2 III H.22,faust://document/faustedition/2_III_H.22,2 III H.22,Witness,,199,41,731,12,,,,,,,,349
wa: 2_III_H.2alpha,faust://document/wa/2_III_H.2alpha,wa: 2_III_H.2alpha,UnknownRef,,200,730,732,8,,,,,,,,108
2 III H.24,faust://document/faustedition/2_III_H.24,2 III H.24,Witness,,201,50,734,4,,,,,,,,355
2 III H.7: … (5),faust://document/wa/2_III_H.7,2 III H.7: … (5),AmbiguousRef,,202,735,736,8,,,,,,,,325
2_III_H.8: i_r,faust://document/wa/2_III_H.8/i_r,2_III_H.8: i_r,UnknownRef,,203,737,738,5,,,,,,,,110
2 III H.62,faust://document/faustedition/2_III_H.62,2 III H.62,Witness,,204,154,740,5,,,,,,,,419
2 III H.75,faust://document/faustedition/2_III_H.75,2 III H.75,Witness,,205,185,741,10,,,,,,,,439
wa: 2_III_H.IIIalpha,faust://document/wa/2_III_H.IIIalpha,wa: 2_III_H.IIIalpha,UnknownRef,,206,742,743,4,,,,,,,,109
2 II H.2: … (3),faust://document/wa/2_II_H.2,2 II H.2: … (3),AmbiguousRef,,207,744,745,2,,,,,,,,216
2 II H.28 alpha,faust://inscription/faustedition/2_II_H.28/alpha,2 II H.28 alpha,Inscription,2 II H.28,208,621,747,5,,,,,,,,22
2 II H.28,faust://document/faustedition/2_II_H.28,2 II H.28,Witness,,209,243,748,12,,,,,,,,254
wa: 2_II_H.31_alpha,faust://document/wa/2_II_H.31_alpha,wa: 2_II_H.31_alpha,UnknownRef,,210,749,750,2,,,,,,,,113
wa: 2_II_H.alpha,faust://document/wa/2_II_H.alpha,wa: 2_II_H.alpha,UnknownRef,,211,751,752,8,,,,,,,,112
2 IV H.20,faust://document/faustedition/2_IV_H.20,2 IV H.20,Witness,,212,354,754,9,,,,,,,,477
wa: 2_I_H.alpha,faust://document/wa/2_I_H.alpha,wa: 2_I_H.alpha,UnknownRef,,213,758,759,6,,,,,,,,106
wa: 2_V_H.alpha,faust://document/wa/2_V_H.alpha,wa: 2_V_H.alpha,UnknownRef,,214,761,762,4,,,,,,,,105
2 V H.37g,faust://document/faustedition/2_V_H.37g,2 V H.37g,Witness,,215,587,764,12,,,,,,,,549
wa: 2_H_P167 i_uebrige,faust://inscription/wa/2_H_P167/i_uebrige,wa: 2_H_P167 i_uebrige,Inscription,wa: 2_H_P167,216,765,766,3,,,,,,,,116
wa: 2_H_P167,faust://document/wa/2_H_P167,wa: 2_H_P167,UnknownRef,,217,721,767,4,,,,,,,,115
C.3  … (2),faust://document/wa/C,C.3  … (2),AmbiguousRef,,218,777,778,10,,,,,,,,662
wa: C.1_4,faust://document/wa/C.1_4,wa: C.1_4,UnknownRef,,219,779,780,4,,,,,,,,656
wa: C_12,faust://document/wa/C_12,wa: C_12,UnknownRef,,220,781,782,12,,,,,,,,658
wa: C_4,faust://document/wa/C_4,wa: C_4,UnknownRef,,221,783,784,4,,,,,,,,657
D.2,faust://document/faustedition/D.2,D.2,Witness,,222,789,790,4,,,,,,,,668
D.4alpha,faust://document/faustedition/D.4alpha,D.4alpha,Witness,,223,792,791,0,,,,,,,,669
"gsa_1: GSA_25_XIX,4","faust://document/gsa_1/GSA_25_XIX,4","gsa_1: GSA_25_XIX,4",UnknownRef,,224,796,797,2,,,,,,,,674
gsa_2: GSA_25_W_1714,faust://document/gsa_2/GSA_25_W_1714,gsa_2: GSA_25_W_1714,UnknownRef,,225,800,801,4,,,,,,,,677
bohnenkamp: H_P179.1,faust://document/bohnenkamp/H_P179.1,bohnenkamp: H_P179.1,UnknownRef,,226,804,805,2,,,,,,,,681
bohnenkamp: H_P182,faust://document/bohnenkamp/H_P182,bohnenkamp: H_P182,UnknownRef,,227,806,807,2,,,,,,,,680
H P123.3,faust://document/faustedition/H_P123.3,H P123.3,Witness,,228,825,824,0,,,,,,,,609
H P123.4,faust://document/faustedition/H_P123.4,H P123.4,Witness,,229,827,826,0,,,,,,,,610
H P123.6,faust://document/faustedition/H_P123.6,H P123.6,Witness,,230,830,829,0,,,,,,,,612
H P123.7,faust://document/faustedition/H_P123.7,H P123.7,Witness,,231,832,831,0,,,,,,,,613
H P123.8,faust://document/faustedition/H_P123.8,H P123.8,Witness,,232,834,833,0,,,,,,,,614
H P123.9,faust://document/faustedition/H_P123.9,H P123.9,Witness,,233,836,835,0,,,,,,,,615
H P148,faust://document/faustedition/H_P148,H P148,Witness,,234,845,844,0,,,,,,,,621
H P156a*,faust://document/faustedition/H_P156a_,H P156a*,Witness,,235,849,848,0,,,,,,,,623
H P161,faust://document/faustedition/H_P161,H P161,Witness,,236,853,854,4,,,,,,,,627
2 III H.16,faust://document/faustedition/2_III_H.16,2 III H.16,Witness,,237,35,856,12,,,,,,,,343
2 III H.20,faust://document/faustedition/2_III_H.20,2 III H.20,Witness,,238,39,857,7,,,,,,,,347
2 III H.21,faust://document/faustedition/2_III_H.21,2 III H.21,Witness,,239,40,858,8,,,,,,,,348
H P165,faust://document/faustedition/H_P165,H P165,Witness,,240,860,861,6,,,,,,,,630
2 III H.49a,faust://document/faustedition/2_III_H.49a,2 III H.49a,Witness,,241,115,863,4,,,,,,,,392
H P174,faust://document/faustedition/H_P174,H P174,Witness,,242,867,866,0,,,,,,,,634
H P176,faust://document/faustedition/H_P176,H P176,Witness,,243,869,868,0,,,,,,,,635
H P179,faust://document/faustedition/H_P179,H P179,Witness,,244,873,872,0,,,,,,,,638
H P180,faust://document/faustedition/H_P180,H P180,Witness,,245,875,876,4,,,,,,,,640
2 IV H.13,faust://document/faustedition/2_IV_H.13,2 IV H.13,Witness,,246,340,878,33,,,,,,,,468
2 IV H.12 i_uebrige,faust://inscription/faustedition/2_IV_H.12/i_uebrige,2 IV H.12 i_uebrige,Inscription,2 IV H.12,247,636,879,11,,,,,,,,61
2 IV H.12,faust://document/faustedition/2_IV_H.12,2 IV H.12,Witness,,248,339,880,13,,,,,,,,467
H P190,faust://document/faustedition/H_P190,H P190,Witness,,249,883,884,2,,,,,,,,644
H P190b,faust://document/faustedition/H_P190b,H P190b,Witness,,250,887,886,0,,,,,,,,646
H P194,faust://document/faustedition/H_P194,H P194,Witness,,251,888,890,4,,,,,,,,647
H P204,faust://document/faustedition/H_P204,H P204,Witness,,252,894,895,2,,,,,,,,651
H P42,faust://document/faustedition/H_P42,H P42,Witness,,253,907,906,0,,,,,,,,574
H P68 Var,faust://document/faustedition/H_P68_Var,H P68 Var,Witness,,254,917,918,2,,,,,,,,582
H P82a,faust://document/faustedition/H_P82a,H P82a,Witness,,255,926,925,0,,,,,,,,588
bohnenkamp: H_P9a,faust://document/bohnenkamp/H_P9a,bohnenkamp: H_P9a,UnknownRef,,256,808,929,4,,,,,,,,679
H P9a,faust://document/faustedition/H_P9a,H P9a,Witness,,257,938,937,0,,,,,,,,559
H P167 i_r_u,faust://inscription/faustedition/H_P167/i_r_u,H P167 i_r_u,Inscription,H P167,258,940,941,3,,,,,,,,687
H P167 i_uebrige,faust://inscription/faustedition/H_P167/i_uebrige,H P167 i_uebrige,Inscription,H P167,259,942,943,10,,,,,,,,688
H P22 i_2_o,faust://inscription/faustedition/H_P22/i_2_o,H P22 i_2_o,Inscription,H P22,260,947,948,6,,,,,,,,683
H P22 i_2_u,faust://inscription/faustedition/H_P22/i_2_u,H P22 i_2_u,Inscription,H P22,261,949,950,6,,,,,,,,684
H P65 i_uebrige,faust://inscription/faustedition/H_P65/i_uebrige,H P65 i_uebrige,Inscription,H P65,262,953,954,3,,,,,,,,690
J.3-1,faust://document/faustedition/J.3-1,J.3-1,Witness,,263,958,957,0,,,,,,,,695
J.3-2,faust://document/faustedition/J.3-2,J.3-2,Witness,,264,960,959,0,,,,,,,,696
fischer_lamberg: P170a i_uebrige,faust://inscription/fischer_lamberg/P170a/i_uebrige,fischer_lamberg: P170a i_uebrige,Inscription,fischer_lamberg: P170a,265,965,966,7,,,,,,,,701
wa: P179.1 i_1_r,faust://inscription/wa/P179.1/i_1_r,wa: P179.1 i_1_r,Inscription,wa: P179.1,266,971,972,5,,,,,,,,707
wa: P179.1,faust://document/wa/P179.1,wa: P179.1,UnknownRef,,267,967,973,5,,,,,,,,704
wa: P179.2 i_2_r,faust://inscription/wa/P179.2/i_2_r,wa: P179.2 i_2_r,Inscription,wa: P179.2,268,974,975,5,,,,,,,,709
wa: P179.2,faust://document/wa/P179.2,wa: P179.2,UnknownRef,,269,968,976,5,,,,,,,,706
wa: P179.3 i_1_v,faust://inscription/wa/P179.3/i_1_v,wa: P179.3 i_1_v,Inscription,wa: P179.3,270,977,978,5,,,,,,,,708
wa: P179.3,faust://document/wa/P179.3,wa: P179.3,UnknownRef,,271,969,979,5,,,,,,,,705
wa: P191Var i_v_u,faust://inscription/wa/P191Var/i_v_u,wa: P191Var i_v_u,Inscription,wa: P191Var,272,980,981,6,,,,,,,,710
wa: P191Var,faust://document/wa/P191Var,wa: P191Var,UnknownRef,,273,970,982,6,,,,,,,,703
wa: C_41,faust://document/wa/C_41,wa: C_41,UnknownRef,,274,785,985,38,,,,,,,,655
R 2,faust://document/faustedition/R_2,R 2,Witness,,275,988,987,0,,,,,,,,713
R 3,faust://document/faustedition/R_3,R 3,Witness,,276,990,989,0,,,,,,,,714
T 0 H,faust://document/faustedition/T_0_H,T 0 H,Witness,,277,993,992,0,,,,,,,,716
T 3 H.2,faust://document/faustedition/T_3_H.2,T 3 H.2,Witness,,278,999,998,0,,,,,,,,721
T 3 H.3,faust://document/faustedition/T_3_H.3,T 3 H.3,Witness,,279,1001,1000,0,,,,,,,,722
T 6 H.1,faust://document/faustedition/T_6_H.1,T 6 H.1,Witness,,280,1008,1007,0,,,,,,,,728
T 6 H.2,faust://document/faustedition/T_6_H.2,T 6 H.2,Witness,,281,1010,1009,0,,,,,,,,729
Testhandschrift,faust://document/faustedition/Testhandschrift,Testhandschrift,Witness,,282,1012,1011,0,,,,,,,,730
H P6,faust://document/faustedition/H_P6,H P6,Witness,,283,911,1013,7,,,,,,,,556
1 H.7,faust://document/faustedition/1_H.7,1 H.7,Witness,,284,15,1014,6,,,,,,,,10
1 H.5,faust://document/faustedition/1_H.5,1 H.5,Witness,,285,13,1015,9,,,,,,,,8
J.1,faust://document/faustedition/J.1,J.1,Witness,,286,955,1016,15,,,,,,,,693
1 H.11,faust://document/faustedition/1_H.11,1 H.11,Witness,,287,3,1017,18,,,,,,,,14
1 H.15,faust://document/faustedition/1_H.15,1 H.15,Witness,,288,7,1018,19,,,,,,,,18
H P22 i_uebrige,faust://inscription/faustedition/H_P22/i_uebrige,H P22 i_uebrige,Inscription,H P22,289,951,1019,23,,,,,,,,689
H P13,faust://document/faustedition/H_P13,H P13,Witness,,290,841,1020,23,,,,,,,,562
S,faust://document/faustedition/S,S,Witness,,291,991,1021,36,,,,,,,,715
1 H.4,faust://document/faustedition/1_H.4,1 H.4,Witness,,292,12,1022,42,,,,,,,,7
1 H.13,faust://document/faustedition/1_H.13,1 H.13,Witness,,293,5,1023,43,,,,,,,,16
2 II H.5 i_r,faust://inscription/faustedition/2_II_H.5/i_r,2 II H.5 i_r,Inscription,2 II H.5,294,622,1024,45,,,,,,,,43
2 V H.15a i_r_gt,faust://inscription/faustedition/2_V_H.15a/i_r_gt,2 V H.15a i_r_gt,Inscription,2 V H.15a,295,659,1025,44,,,,,,,,56
H P14,faust://document/faustedition/H_P14,H P14,Witness,,296,842,1026,43,,,,,,,,563
H P20,faust://document/faustedition/H_P20,H P20,Witness,,297,893,1027,44,,,,,,,,565
H P26,faust://document/faustedition/H_P26,H P26,Witness,,298,898,1028,43,,,,,,,,568
H P50,faust://document/faustedition/H_P50,H P50,Witness,,299,910,1029,44,,,,,,,,576
H P67,faust://document/faustedition/H_P67,H P67,Witness,,300,915,1030,43,,,,,,,,580
H P68,faust://document/faustedition/H_P68,H P68,Witness,,301,916,1031,45,,,,,,,,581
H P69,faust://document/faustedition/H_P69,H P69,Witness,,302,919,1032,44,,,,,,,,583
H P75,faust://document/faustedition/H_P75,H P75,Witness,,303,920,1033,43,,,,,,,,584
H P8,faust://document/faustedition/H_P8,H P8,Witness,,304,922,1034,43,,,,,,,,557
H P81,faust://document/faustedition/H_P81,H P81,Witness,,305,923,1035,43,,,,,,,,586
H P82,faust://document/faustedition/H_P82,H P82,Witness,,306,924,1036,46,,,,,,,,587
H P9,faust://document/faustedition/H_P9,H P9,Witness,,307,928,1037,43,,,,,,,,558
H P96,faust://document/faustedition/H_P96,H P96,Witness,,308,932,1038,43,,,,,,,,592
H P65 i_4_r,faust://inscription/faustedition/H_P65/i_4_r,H P65 i_4_r,Inscription,H P65,309,952,1039,45,,,,,,,,685
H P65,faust://document/faustedition/H_P65,H P65,Witness,,310,914,1040,50,,,,,,,,579
H P121a,faust://document/faustedition/H_P121a,H P121a,Witness,,311,821,1041,47,,,,,,,,606
H P22 i_1_o,faust://inscription/faustedition/H_P22/i_1_o,H P22 i_1_o,Inscription,H P22,312,946,1042,53,,,,,,,,682
H P22,faust://document/faustedition/H_P22,H P22,Witness,,313,896,1043,60,,,,,,,,566
H P91,faust://document/faustedition/H_P91,H P91,Witness,,314,930,1044,56,,,,,,,,590
H P11,faust://document/faustedition/H_P11,H P11,Witness,,315,818,1045,57,,,,,,,,560
H P12,faust://document/faustedition/H_P12,H P12,Witness,,316,820,1046,57,,,,,,,,561
H P15,faust://document/faustedition/H_P15,H P15,Witness,,317,847,1047,57,,,,,,,,564
1 H.10 i_uebrige,faust://inscription/faustedition/1_H.10/i_uebrige,1 H.10 i_uebrige,Inscription,1 H.10,318,19,1048,61,,,,,,,,1
1 H.10,faust://document/faustedition/1_H.10,1 H.10,Witness,,319,2,1049,60,,,,,,,,13
H P4,faust://document/faustedition/H_P4,H P4,Witness,,320,905,1050,79,,,,,,,,554
1 H.3,faust://document/faustedition/1_H.3,1 H.3,Witness,,321,11,1051,80,,,,,,,,6
H P3,faust://document/faustedition/H_P3,H P3,Witness,,322,902,1052,81,,,,,,,,553
H P5,faust://document/faustedition/H_P5,H P5,Witness,,323,909,1053,80,,,,,,,,555
1 H.9,faust://document/faustedition/1_H.9,1 H.9,Witness,,324,18,1054,86,,,,,,,,12
2 III H.10,faust://document/faustedition/2_III_H.10,2 III H.10,Witness,,325,27,1055,88,,,,,,,,336
2 III H.9,faust://document/faustedition/2_III_H.9,2 III H.9,Witness,,326,212,1056,88,,,,,,,,334
H P25,faust://document/faustedition/H_P25,H P25,Witness,,327,897,1057,87,,,,,,,,567
H P97,faust://document/faustedition/H_P97,H P97,Witness,,328,933,1058,95,,,,,,,,593
H P1,faust://document/faustedition/H_P1,H P1,Witness,,329,809,1059,99,,,,,,,,552
H P98,faust://document/faustedition/H_P98,H P98,Witness,,330,934,1060,99,,,,,,,,594
bohnenkamp: P10 i_3_u,faust://inscription/bohnenkamp/P10/i_3_u,bohnenkamp: P10 i_3_u,Inscription,bohnenkamp: P10,331,962,1061,96,,,,,,,,698
bohnenkamp: P10,faust://document/bohnenkamp/P10,bohnenkamp: P10,UnknownRef,,332,961,1062,96,,,,,,,,697
R 1,faust://document/faustedition/R_1,R 1,Witness,,333,986,1063,95,,,,,,,,712
H P27,faust://document/faustedition/H_P27,H P27,Witness,,334,899,1064,102,,,,,,,,569
H P28,faust://document/faustedition/H_P28,H P28,Witness,,335,900,1065,101,,,,,,,,570
H P29,faust://document/faustedition/H_P29,H P29,Witness,,336,901,1066,101,,,,,,,,571
H P30,faust://document/faustedition/H_P30,H P30,Witness,,337,903,1067,101,,,,,,,,572
H P32,faust://document/faustedition/H_P32,H P32,Witness,,338,904,1068,101,,,,,,,,573
H P62a,faust://document/faustedition/H_P62a,H P62a,Witness,,339,912,1069,101,,,,,,,,577
1 H.14,faust://document/faustedition/1_H.14,1 H.14,Witness,,340,6,1070,102,,,,,,,,17
gsa_1: GSA_25_XVII_1_1a,faust://document/gsa_1/GSA_25_XVII_1_1a,gsa_1: GSA_25_XVII_1_1a,UnknownRef,,341,798,1071,123,,,,,,,,673
1 H.12,faust://document/faustedition/1_H.12,1 H.12,Witness,,342,4,1072,136,,,,,,,,15
H P110a,faust://document/faustedition/H_P110a,H P110a,Witness,,343,819,1073,140,,,,,,,,605
A,faust://document/faustedition/A,A,Witness,,344,769,1074,146,,,,,,,,652
J.2,faust://document/faustedition/J.2,J.2,Witness,,345,956,1075,145,,,,,,,,694
D.1,faust://document/faustedition/D.1,D.1,Witness,,346,788,1076,149,,,,,,,,667
1 H.2,faust://document/faustedition/1_H.2,1 H.2,Witness,,347,10,1077,150,,,,,,,,5
H P47,faust://document/faustedition/H_P47,H P47,Witness,,348,908,1078,150,,,,,,,,575
T 1 H.0,faust://document/faustedition/T_1_H.0,T 1 H.0,Witness,,349,994,1079,157,,,,,,,,717
T 3 H.1,faust://document/faustedition/T_3_H.1,T 3 H.1,Witness,,350,997,1080,159,,,,,,,,720
T 1 H.1,faust://document/faustedition/T_1_H.1,T 1 H.1,Witness,,351,995,1081,159,,,,,,,,718
T 2 H,faust://document/faustedition/T_2_H,T 2 H,Witness,,352,996,1082,166,,,,,,,,719
T 4 H.1,faust://document/faustedition/T_4_H.1,T 4 H.1,Witness,,353,1002,1083,166,,,,,,,,723
T 4 H.2,faust://document/faustedition/T_4_H.2,T 4 H.2,Witness,,354,1003,1084,166,,,,,,,,724
T 4 H.3,faust://document/faustedition/T_4_H.3,T 4 H.3,Witness,,355,1004,1085,166,,,,,,,,725
T 5 H.2,faust://document/faustedition/T_5_H.2,T 5 H.2,Witness,,356,1006,1086,171,,,,,,,,727
