,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 V H.0c,faust://document/faustedition/2_V_H.0c,2 V H.0c,Witness,,672,946,1831-04-24,1831-04-24,1831-09-22,1831-10-23,1831-07-08,1831.0,1831,480
2 V H.0b,faust://document/faustedition/2_V_H.0b,2 V H.0b,Witness,,673,950,1831-04-24,1831-03-24,1831-09-22,1831-09-22,1831-07-08,1831.0,1831,479
2 IV H.6:1,faust://document/faustedition/2_IV_H.6_1,2 IV H.6:1,Witness,,674,950,1831-04-29,1831-04-29,1831-10-28,1831-10-28,1831-07-29,1831.0,1831,448
2 IV H.6:2,faust://document/faustedition/2_IV_H.6_2,2 IV H.6:2,Witness,,675,950,1831-04-29,1831-04-29,1831-10-28,1831-10-28,1831-07-29,1831.0,1831,449
2 IV H.7a,faust://document/faustedition/2_IV_H.7a,2 IV H.7a,Witness,,676,949,1831-04-29,,1832-06-06,,1831-11-17,1831.0,1831 … 1832,451
2 V H.38,faust://document/faustedition/2_V_H.38,2 V H.38,Witness,,677,947,1831-04-29,1831-04-29,1831-05-18,1831-05-18,1831-05-08,1831.0,1831,537
H P197a,faust://document/faustedition/H_P197a,H P197a,Witness,,678,947,1831-04-29,1831-04-29,1831-05-18,1831-05-18,1831-05-08,1831.0,1831,637
H P188a,faust://document/faustedition/H_P188a,H P188a,Witness,,679,949,1831-04-30,1831-04-30,1831-07-23,1831-07-23,1831-06-11,1831.0,1831,630
H P190a,faust://document/faustedition/H_P190a,H P190a,Witness,,680,957,1831-05-14,1831-05-14,1831-11-12,1831-11-12,1831-08-13,1831.0,1831,632
2 IV H.22 i_1_r,faust://inscription/faustedition/2_IV_H.22/i_1_r,2 IV H.22 i_1_r,Inscription,2 IV H.22,681,961,1831-05-15,1831-05-15,1831-05-17,1831-05-17,1831-05-16,1831.0,1831,36
2 IV H.22 i_uebrige,faust://inscription/faustedition/2_IV_H.22/i_uebrige,2 IV H.22 i_uebrige,Inscription,2 IV H.22,682,958,1831-05-15,1831-05-15,1831-12-09,1831-12-09,1831-08-27,1831.0,1831,63
2 IV H.22,faust://document/faustedition/2_IV_H.22,2 IV H.22,Witness,,683,959,1831-05-15,1831-05-15,1831-05-17,1831-05-17,1831-05-16,1831.0,1831,470
2 IV H.22b,faust://document/faustedition/2_IV_H.22b,2 IV H.22b,Witness,,684,966,1831-05-29,1831-05-29,1831-11-27,1831-11-27,1831-08-28,1831.0,1831,472
2 IV H.5,faust://document/faustedition/2_IV_H.5,2 IV H.5,Witness,,685,968,1831-06-17,1831-06-17,1831-12-16,1831-12-16,1831-09-16,1831.0,1831,447
2 IV H.2,faust://document/faustedition/2_IV_H.2,2 IV H.2,Witness,,686,972,1831-06-17,1831-06-17,1832-06-06,,1831-12-11,1831.0,1831 … 1832,444
2 IV H.3,faust://document/faustedition/2_IV_H.3,2 IV H.3,Witness,,687,972,1831-06-17,,1832-06-06,,1831-12-11,1831.0,1831 … 1832,445
2 IV H.7,faust://document/faustedition/2_IV_H.7,2 IV H.7,Witness,,688,974,1831-06-17,,1832-06-06,,1831-12-11,1831.0,1831 … 1832,450
H P188,faust://document/faustedition/H_P188,H P188,Witness,,689,970,1831-06-17,1824-12-31,,,1831-06-17,1831.0,1831,629
2 IV H.18,faust://document/faustedition/2_IV_H.18,2 IV H.18,Witness,,690,972,1831-06-25,1831-06-25,1831-07-01,1831-07-01,1831-06-28,1831.0,1831,465
2 IV H.21a,faust://document/faustedition/2_IV_H.21a,2 IV H.21a,Witness,,691,971,1831-06-25,1831-06-25,1831-07-23,1831-07-23,1831-07-09,1831.0,1831,469
2 IV H.22d,faust://document/faustedition/2_IV_H.22d,2 IV H.22d,Witness,,692,969,1831-06-25,1831-06-25,1831-07-23,1831-07-23,1831-07-09,1831.0,1831,474
2 IV H.20,faust://document/faustedition/2_IV_H.20,2 IV H.20,Witness,,693,975,1831-06-25,,1832-06-06,,1831-12-15,1831.0,1831 … 1832,467
2 IV H.13a,faust://document/faustedition/2_IV_H.13a,2 IV H.13a,Witness,,694,974,1831-06-25,,1832-06-06,,1831-12-15,1831.0,1831 … 1832,459
2 IV H.1,faust://document/faustedition/2_IV_H.1,2 IV H.1,Witness,,695,975,1831-06-25,,,,1831-06-25,1831.0,1831,443
2 IV H.22g,faust://document/faustedition/2_IV_H.22g,2 IV H.22g,Witness,,696,969,1831-06-25,1831-06-25,1831-07-23,1831-07-23,1831-07-09,1831.0,1831,477
2 IV H.22e,faust://document/faustedition/2_IV_H.22e,2 IV H.22e,Witness,,697,971,1831-06-25,1831-06-25,1831-07-23,1831-07-23,1831-07-09,1831.0,1831,475
2 IV H.22f,faust://document/faustedition/2_IV_H.22f,2 IV H.22f,Witness,,698,971,1831-06-25,1831-06-25,1831-07-23,1831-07-23,1831-07-09,1831.0,1831,476
H P181,faust://document/faustedition/H_P181,H P181,Witness,,699,969,1831-06-25,1831-06-25,1831-07-01,1831-07-01,1831-06-28,1831.0,1831,628
2 IV H.19 i_uebrige,faust://inscription/faustedition/2_IV_H.19/i_uebrige,2 IV H.19 i_uebrige,Inscription,2 IV H.19,700,974,1831-06-29,1831-06-29,1831-11-27,1831-12-28,1831-09-12,1831.0,1831,61
2 IV H.12 i_uebrige,faust://inscription/faustedition/2_IV_H.12/i_uebrige,2 IV H.12 i_uebrige,Inscription,2 IV H.12,701,975,1831-06-29,,1832-06-06,,1831-12-17,1831.0,1831 … 1832,62
