,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 IV H.15,faust://document/faustedition/2_IV_H.15,2 IV H.15,Witness,,90,6,,,1832-06-06,,1832-06-06,1832.0,1832,462
2 IV H.17,faust://document/faustedition/2_IV_H.17,2 IV H.17,Witness,,91,0,,,1831-07-01,,1831-07-01,1831.0,1831,464
2 IV H.19,faust://document/faustedition/2_IV_H.19,2 IV H.19,Witness,,92,0,,,,,,,,466
2 IV H.22a,faust://document/faustedition/2_IV_H.22a,2 IV H.22a,Witness,,93,0,,,1831-11-27,,1831-11-27,1831.0,1831,471
2 IV H.22c,faust://document/faustedition/2_IV_H.22c,2 IV H.22c,Witness,,94,3,,,1831-11-27,,1831-11-27,1831.0,1831,473
2 V H.0d,faust://document/faustedition/2_V_H.0d,2 V H.0d,Witness,,95,0,,,,,,,,481
2 V H.0e,faust://document/faustedition/2_V_H.0e,2 V H.0e,Witness,,96,0,,,,,,,,482
2 V H.14a*,faust://document/faustedition/2_V_H.14a_,2 V H.14a*,Witness,,97,0,,,,,,,,500
2 V H.16,faust://document/faustedition/2_V_H.16,2 V H.16,Witness,,98,0,,,1825-03-17,1831-04-01,1825-03-17,1825.0,1825,504
2 V H.35a*,faust://document/faustedition/2_V_H.35a_,2 V H.35a*,Witness,,99,0,,,,,,,,527
2 V H.36,faust://document/faustedition/2_V_H.36,2 V H.36,Witness,,100,0,,,1830-12-18,,1830-12-18,1830.0,1830,528
2 V H.37d,faust://document/faustedition/2_V_H.37d,2 V H.37d,Witness,,101,0,,,,,,,,533
H P9a,faust://document/faustedition/H_P9a,H P9a,Witness,,102,0,,,,,,,,546
H P22,faust://document/faustedition/H_P22,H P22,Witness,,103,0,,,,,,,,553
H P42,faust://document/faustedition/H_P42,H P42,Witness,,104,0,,,,,,,,561
H P68 Var,faust://document/faustedition/H_P68_Var,H P68 Var,Witness,,105,0,,,1798-05-06,,1798-05-06,1798.0,1798,569
H P82a,faust://document/faustedition/H_P82a,H P82a,Witness,,106,0,,,,,,,,575
H P123.3,faust://document/faustedition/H_P123.3,H P123.3,Witness,,107,0,,,,,,,,596
H P123.4,faust://document/faustedition/H_P123.4,H P123.4,Witness,,108,0,,,,,,,,597
H P123.6,faust://document/faustedition/H_P123.6,H P123.6,Witness,,109,0,,,,,,,,599
H P123.7,faust://document/faustedition/H_P123.7,H P123.7,Witness,,110,0,,,,,,,,600
H P123.8,faust://document/faustedition/H_P123.8,H P123.8,Witness,,111,0,,,,,,,,601
H P123.9,faust://document/faustedition/H_P123.9,H P123.9,Witness,,112,0,,,,,,,,602
H P148,faust://document/faustedition/H_P148,H P148,Witness,,113,0,,,,,,,,608
H P156a*,faust://document/faustedition/H_P156a_,H P156a*,Witness,,114,0,,,,,,,,610
H P167,faust://document/faustedition/H_P167,H P167,Witness,,115,0,,,,,,,,619
H P174,faust://document/faustedition/H_P174,H P174,Witness,,116,0,,,,,,,,621
H P176,faust://document/faustedition/H_P176,H P176,Witness,,117,0,,,,,,,,622
H P176 Var,faust://document/faustedition/H_P176_Var,H P176 Var,Witness,,118,0,,,,,,,,623
H P179,faust://document/faustedition/H_P179,H P179,Witness,,119,0,,,,,,,,625
H P190,faust://document/faustedition/H_P190,H P190,Witness,,120,0,,,,,,,,631
H P190b,faust://document/faustedition/H_P190b,H P190b,Witness,,121,0,,,,,,,,633
H P204,faust://document/faustedition/H_P204,H P204,Witness,,122,0,,,1830-06-02,,1830-06-02,1830.0,1830,638
2 II H.48,faust://document/faustedition/2_II_H.48,2 II H.48,Witness,,123,2,,,1830-06-02,1830-06-02,1830-06-02,1830.0,1830,273
D.4alpha,faust://document/faustedition/D.4alpha,D.4alpha,Witness,,124,0,,,,,,,,655
"gsa_1: GSA_25_XIX,4","faust://document/gsa_1/GSA_25_XIX,4","gsa_1: GSA_25_XIX,4",UnknownRef,,125,0,,,1829-08-30,,1829-08-30,1829.0,1829,659
gsa_2: GSA_25_W_1714,faust://document/gsa_2/GSA_25_W_1714,gsa_2: GSA_25_W_1714,UnknownRef,,126,2,,,,,,,,662
bohnenkamp: H_P179.1,faust://document/bohnenkamp/H_P179.1,bohnenkamp: H_P179.1,UnknownRef,,127,0,,,,,,,,666
bohnenkamp: H_P182,faust://document/bohnenkamp/H_P182,bohnenkamp: H_P182,UnknownRef,,128,0,,,1832-06-06,,1832-06-06,1832.0,1832,665
H P167 i_r_u,faust://inscription/faustedition/H_P167/i_r_u,H P167 i_r_u,Inscription,H P167,129,0,,,1825-04-06,,1825-04-06,1825.0,1825,673
H P65 i_uebrige,faust://inscription/faustedition/H_P65/i_uebrige,H P65 i_uebrige,Inscription,H P65,130,0,,,1798-05-06,,1798-05-06,1798.0,1798,675
J.3-1,faust://document/faustedition/J.3-1,J.3-1,Witness,,131,0,,,,,,,,681
J.3-2,faust://document/faustedition/J.3-2,J.3-2,Witness,,132,0,,,,,,,,682
bohnenkamp: P10,faust://document/bohnenkamp/P10,bohnenkamp: P10,UnknownRef,,133,0,,,,,,,,683
fischer_lamberg: P170a,faust://document/fischer_lamberg/P170a,fischer_lamberg: P170a,UnknownRef,,134,0,,,,,,,,685
wa: P179.1,faust://document/wa/P179.1,wa: P179.1,UnknownRef,,135,0,,,,,,,,692
wa: P179.2,faust://document/wa/P179.2,wa: P179.2,UnknownRef,,136,0,,,,,,,,690
wa: P179.3,faust://document/wa/P179.3,wa: P179.3,UnknownRef,,137,0,,,,,,,,691
wa: P191Var,faust://document/wa/P191Var,wa: P191Var,UnknownRef,,138,0,,,,,,,,689
wa: P179.2 i_2_r,faust://inscription/wa/P179.2/i_2_r,wa: P179.2 i_2_r,Inscription,wa: P179.2,139,2,,,,,,,,695
R 2,faust://document/faustedition/R_2,R 2,Witness,,140,0,,,,,,,,699
R 3,faust://document/faustedition/R_3,R 3,Witness,,141,0,,,,,,,,700
T 0 H,faust://document/faustedition/T_0_H,T 0 H,Witness,,142,0,,,,,,,,702
T 3 H.2,faust://document/faustedition/T_3_H.2,T 3 H.2,Witness,,143,0,,,,,,,,707
T 3 H.3,faust://document/faustedition/T_3_H.3,T 3 H.3,Witness,,144,0,,,,,,,,708
T 6 H.1,faust://document/faustedition/T_6_H.1,T 6 H.1,Witness,,145,0,,,,,,,,714
T 6 H.2,faust://document/faustedition/T_6_H.2,T 6 H.2,Witness,,146,0,,,,,,,,715
Testhandschrift,faust://document/faustedition/Testhandschrift,Testhandschrift,Witness,,147,0,,,,,,,,716
H P6,faust://document/faustedition/H_P6,H P6,Witness,,148,5,1773-06-09,1773-06-09,1775-11-08,1775-11-08,1774-08-24,1774.0,1773 … 1775,543
1 H.7,faust://document/faustedition/1_H.7,1 H.7,Witness,,149,4,1775-11-06,1775-11-06,1788-08-25,1788-08-25,1782-04-01,1782.0,1775 … 1788,10
1 H.5,faust://document/faustedition/1_H.5,1 H.5,Witness,,150,7,1775-12-31,1775-12-31,1777-01-01,1777-01-01,1776-07-01,1776.0,1776,8
J.1,faust://document/faustedition/J.1,J.1,Witness,,151,13,1781-12-31,1781-12-31,1783-01-01,1783-01-01,1782-07-02,1782.0,1782,679
1 H.11,faust://document/faustedition/1_H.11,1 H.11,Witness,,152,16,1786-05-31,1786-05-31,1787-03-01,1787-03-01,1786-10-15,1786.0,1786 … 1787,14
H P22 i_uebrige,faust://inscription/faustedition/H_P22/i_uebrige,H P22 i_uebrige,Inscription,H P22,153,20,1787-12-31,1787-12-31,1789-01-01,1789-01-01,1788-07-01,1788.0,1788,676
H P13,faust://document/faustedition/H_P13,H P13,Witness,,154,21,1788-04-30,1788-04-30,1789-10-01,1789-10-01,1789-01-14,1789.0,1788 … 1789,549
H P65,faust://document/faustedition/H_P65,H P65,Witness,,155,31,1789-12-31,1789-12-31,1794-01-01,1794-01-01,1792-01-01,1792.0,1790 … 1793,566
S,faust://document/faustedition/S,S,Witness,,156,31,1790-03-31,1790-03-31,1790-07-01,1790-07-01,1790-05-16,1790.0,1790,701
1 H.4,faust://document/faustedition/1_H.4,1 H.4,Witness,,157,37,1795-09-30,1795-09-30,1797-06-25,1797-06-25,1796-08-12,1796.0,1795 … 1797,7
1 H.13,faust://document/faustedition/1_H.13,1 H.13,Witness,,158,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,16
2 II H.5 i_r,faust://inscription/faustedition/2_II_H.5/i_r,2 II H.5 i_r,Inscription,2 II H.5,159,39,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,43
2 V H.15a i_r_gt,faust://inscription/faustedition/2_V_H.15a/i_r_gt,2 V H.15a i_r_gt,Inscription,2 V H.15a,160,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,56
2 II H.5 i_v,faust://inscription/faustedition/2_II_H.5/i_v,2 II H.5 i_v,Inscription,2 II H.5,161,38,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,76
2 II H.5,faust://document/faustedition/2_II_H.5,2 II H.5,Witness,,162,38,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,219
H P8,faust://document/faustedition/H_P8,H P8,Witness,,163,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,544
H P9,faust://document/faustedition/H_P9,H P9,Witness,,164,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,545
H P14,faust://document/faustedition/H_P14,H P14,Witness,,165,38,1797-06-23,1797-06-23,1801-04-08,1801-04-08,1799-05-16,1799.0,1797 … 1801,550
H P20,faust://document/faustedition/H_P20,H P20,Witness,,166,39,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,552
H P26,faust://document/faustedition/H_P26,H P26,Witness,,167,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,555
H P50,faust://document/faustedition/H_P50,H P50,Witness,,168,39,1797-06-23,1797-06-23,1800-11-09,1800-11-09,1799-03-02,1799.0,1797 … 1800,563
H P67,faust://document/faustedition/H_P67,H P67,Witness,,169,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,567
H P68,faust://document/faustedition/H_P68,H P68,Witness,,170,40,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,568
H P69,faust://document/faustedition/H_P69,H P69,Witness,,171,39,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,570
H P75,faust://document/faustedition/H_P75,H P75,Witness,,172,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,571
H P81,faust://document/faustedition/H_P81,H P81,Witness,,173,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,573
H P82,faust://document/faustedition/H_P82,H P82,Witness,,174,41,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,574
H P96,faust://document/faustedition/H_P96,H P96,Witness,,175,38,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,579
H P97,faust://document/faustedition/H_P97,H P97,Witness,,176,39,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,580
bohnenkamp: H_P9a,faust://document/bohnenkamp/H_P9a,bohnenkamp: H_P9a,UnknownRef,,177,39,1797-06-23,,,,1797-06-23,1797.0,1797,667
H P22 i_2_o,faust://inscription/faustedition/H_P22/i_2_o,H P22 i_2_o,Inscription,H P22,178,40,1797-06-23,,,,1797-06-23,1797.0,1797,669
H P22 i_2_u,faust://inscription/faustedition/H_P22/i_2_u,H P22 i_2_u,Inscription,H P22,179,41,1797-06-23,,,,1797-06-23,1797.0,1797,670
H P65 i_4_r,faust://inscription/faustedition/H_P65/i_4_r,H P65 i_4_r,Inscription,H P65,180,40,1797-06-23,1797-06-23,1798-05-06,1798-05-06,1797-11-28,1797.0,1797 … 1798,671
H P121a,faust://document/faustedition/H_P121a,H P121a,Witness,,181,42,1797-08-31,1797-08-31,1797-10-01,1797-10-01,1797-09-15,1797.0,1797,593
H P98,faust://document/faustedition/H_P98,H P98,Witness,,182,47,1797-10-31,1797-10-31,1798-04-01,1798-04-01,1798-01-15,1798.0,1797 … 1798,581
H P22 i_1_o,faust://inscription/faustedition/H_P22/i_1_o,H P22 i_1_o,Inscription,H P22,183,48,1797-12-31,1797-12-31,1798-01-01,1798-01-01,1797-12-31,1797.0,1798 … 1797,668
2 V H.15a,faust://document/faustedition/2_V_H.15a,2 V H.15a,Witness,,184,50,1798-02-28,1798-02-28,1798-05-06,1798-05-06,1798-04-02,1798.0,1798,502
H P91,faust://document/faustedition/H_P91,H P91,Witness,,185,51,1798-02-28,1798-02-28,1798-05-06,1798-05-06,1798-04-02,1798.0,1798,577
H P11,faust://document/faustedition/H_P11,H P11,Witness,,186,53,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,547
H P12,faust://document/faustedition/H_P12,H P12,Witness,,187,52,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,548
H P15,faust://document/faustedition/H_P15,H P15,Witness,,188,52,1798-04-30,1798-04-30,1801-05-01,1801-05-01,1799-10-30,1799.0,1798 … 1801,551
1 H.10 i_uebrige,faust://inscription/faustedition/1_H.10/i_uebrige,1 H.10 i_uebrige,Inscription,1 H.10,189,55,1798-05-04,1798-05-04,1798-05-06,1798-05-06,1798-05-05,1798.0,1798,1
1 H.10,faust://document/faustedition/1_H.10,1 H.10,Witness,,190,55,1798-05-04,1798-05-04,1798-05-06,1798-05-06,1798-05-05,1798.0,1798,13
H P4,faust://document/faustedition/H_P4,H P4,Witness,,191,76,1798-07-31,1798-07-31,1798-09-16,1798-09-16,1798-08-23,1798.0,1798,541
1 H.3,faust://document/faustedition/1_H.3,1 H.3,Witness,,192,77,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,6
H P3,faust://document/faustedition/H_P3,H P3,Witness,,193,78,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,540
H P5,faust://document/faustedition/H_P5,H P5,Witness,,194,77,1798-08-14,1798-08-14,1798-09-16,1798-09-16,1798-08-30,1798.0,1798,542
1 H.9,faust://document/faustedition/1_H.9,1 H.9,Witness,,195,83,1799-06-20,1799-06-20,1799-11-05,1799-11-05,1799-08-28,1799.0,1799,12
2 III H.9,faust://document/faustedition/2_III_H.9,2 III H.9,Witness,,196,85,1799-06-30,1799-06-30,1800-01-02,1800-01-02,1799-10-01,1799.0,1799 … 1800,326
2 III H.10,faust://document/faustedition/2_III_H.10,2 III H.10,Witness,,197,85,1799-06-30,1799-06-30,1800-01-02,1800-01-02,1799-10-01,1799.0,1799 … 1800,328
H P25,faust://document/faustedition/H_P25,H P25,Witness,,198,84,1799-06-30,1799-06-30,1801-04-08,1801-04-08,1800-05-19,1800.0,1799 … 1801,554
H P1,faust://document/faustedition/H_P1,H P1,Witness,,199,97,1800-04-12,1800-04-12,1801-04-08,1801-04-08,1800-10-09,1800.0,1800 … 1801,539
H P84 ,faust://document/faustedition/H_P84,H P84 ,Witness,,200,92,1800-04-12,1800-04-12,1800-04-14,1800-04-14,1800-04-13,1800.0,1800,576
bohnenkamp: P10 i_3_u,faust://inscription/bohnenkamp/P10/i_3_u,bohnenkamp: P10 i_3_u,Inscription,bohnenkamp: P10,201,92,1800-04-12,1800-04-12,1800-11-09,1800-11-09,1800-07-26,1800.0,1800,684
R 1,faust://document/faustedition/R_1,R 1,Witness,,202,92,1800-04-12,1800-04-12,1800-11-09,1800-11-09,1800-07-26,1800.0,1800,698
H P27,faust://document/faustedition/H_P27,H P27,Witness,,203,98,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,556
H P28,faust://document/faustedition/H_P28,H P28,Witness,,204,97,1800-11-01,1800-11-01,1801-05-02,1801-05-02,1801-01-31,1801.0,1800 … 1801,557
H P29,faust://document/faustedition/H_P29,H P29,Witness,,205,97,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,558
H P30,faust://document/faustedition/H_P30,H P30,Witness,,206,97,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,559
H P32,faust://document/faustedition/H_P32,H P32,Witness,,207,97,1800-11-01,1800-11-01,1800-11-09,1800-11-09,1800-11-05,1800.0,1800,560
H P62a,faust://document/faustedition/H_P62a,H P62a,Witness,,208,97,1800-11-01,1800-11-01,1806-04-05,1806-04-05,1803-07-19,1803.0,1800 … 1806,564
1 H.14,faust://document/faustedition/1_H.14,1 H.14,Witness,,209,98,1800-11-04,1800-11-04,1801-02-09,1801-02-09,1800-12-22,1800.0,1800 … 1801,17
gsa_1: GSA_25_XVII_1_1a,faust://document/gsa_1/GSA_25_XVII_1_1a,gsa_1: GSA_25_XVII_1_1a,UnknownRef,,210,113,1801-02-11,1801-02-11,1801-02-14,1801-02-14,1801-02-12,1801.0,1801,660
1 H.12,faust://document/faustedition/1_H.12,1 H.12,Witness,,211,128,1806-02-28,1806-02-28,1806-06-01,1806-06-01,1806-04-15,1806.0,1806,15
H P110a,faust://document/faustedition/H_P110a,H P110a,Witness,,212,132,1807-07-31,1807-07-31,1807-09-01,1807-09-01,1807-08-16,1807.0,1807,592
A,faust://document/faustedition/A,A,Witness,,213,138,1808-03-31,1808-03-31,1808-06-01,1808-06-01,1808-05-01,1808.0,1808,639
J.2,faust://document/faustedition/J.2,J.2,Witness,,214,137,1808-04-06,1808-04-06,1808-05-04,1808-05-04,1808-04-20,1808.0,1808,680
D.1,faust://document/faustedition/D.1,D.1,Witness,,215,141,1808-05-31,1808-05-31,1808-11-01,1808-11-01,1808-08-16,1808.0,1808,653
1 H.2,faust://document/faustedition/1_H.2,1 H.2,Witness,,216,142,1808-09-30,1808-09-30,1810-01-01,1810-01-01,1809-05-17,1809.0,1808 … 1809,5
H P47,faust://document/faustedition/H_P47,H P47,Witness,,217,142,1808-09-30,1808-09-30,1809-03-31,1809-03-31,1808-12-30,1808.0,1808 … 1809,562
T 1 H.0,faust://document/faustedition/T_1_H.0,T 1 H.0,Witness,,218,149,1810-11-03,1810-11-03,1812-12-02,1812-12-02,1811-11-18,1811.0,1810 … 1812,703
T 3 H.1,faust://document/faustedition/T_3_H.1,T 3 H.1,Witness,,219,151,1811-12-31,1811-12-31,1813-01-01,1813-01-01,1812-07-01,1812.0,1812,706
T 1 H.1,faust://document/faustedition/T_1_H.1,T 1 H.1,Witness,,220,151,1812-10-19,1812-10-19,1812-12-02,1812-12-02,1812-11-10,1812.0,1812,704
T 2 H,faust://document/faustedition/T_2_H,T 2 H,Witness,,221,158,1814-03-31,1814-03-31,1819-07-05,1819-07-05,1816-11-16,1816.0,1814 … 1819,705
T 4 H.1,faust://document/faustedition/T_4_H.1,T 4 H.1,Witness,,222,158,1814-03-31,1814-03-31,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,709
T 4 H.2,faust://document/faustedition/T_4_H.2,T 4 H.2,Witness,,223,158,1814-04-01,1814-04-01,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,710
T 4 H.3,faust://document/faustedition/T_4_H.3,T 4 H.3,Witness,,224,158,1814-04-01,1814-04-01,1814-04-12,1814-04-12,1814-04-06,1814.0,1814,711
T 5 H.2,faust://document/faustedition/T_5_H.2,T 5 H.2,Witness,,225,163,1815-04-30,1815-04-30,1815-05-04,1815-05-04,1815-05-02,1815.0,1815,713
T 5 H.1,faust://document/faustedition/T_5_H.1,T 5 H.1,Witness,,226,166,1815-05-16,1815-05-16,1815-05-18,1815-05-18,1815-05-17,1815.0,1815,712
B,faust://document/faustedition/B,B,Witness,,227,170,1816-09-30,1816-09-30,1816-11-01,1816-11-01,1816-10-16,1816.0,1816,640
D.2,faust://document/faustedition/D.2,D.2,Witness,,228,170,1816-09-30,,,,1816-09-30,1816.0,1816,654
H P63,faust://document/faustedition/H_P63,H P63,Witness,,229,173,1816-12-15,1816-12-15,1817-06-15,1817-06-15,1817-03-16,1817.0,1816 … 1817,565
B.a,faust://document/faustedition/B.a,B.a,Witness,,230,174,1817-05-31,1817-05-31,1818-01-01,1818-01-01,1817-09-15,1817.0,1817,641
D.3,faust://bibliography/D.3,D.3,UnknownRef,,231,182,1820-12-31,1820-12-31,1822-01-01,1822-01-01,1821-07-02,1821.0,1821,656
2 III H.23,faust://document/faustedition/2_III_H.23,2 III H.23,Witness,,232,184,1822-09-29,1822-09-29,1822-10-01,1822-10-01,1822-09-30,1822.0,1822,342
2 III H.23a*,faust://document/faustedition/2_III_H.23a_,2 III H.23a*,Witness,,233,185,1822-09-29,,1826-05-19,,1824-07-24,1824.0,1822 … 1826,343
2 III H.50b,faust://document/faustedition/2_III_H.50b,2 III H.50b,Witness,,234,188,1823-12-22,1823-12-22,1826-04-20,1826-06-25,1825-02-19,1825.0,1823 … 1826,389
2 III H.65,faust://document/faustedition/2_III_H.65,2 III H.65,Witness,,235,192,1824-04-11,1824-04-11,1824-10-10,1824-10-10,1824-07-11,1824.0,1824,419
2 III H.66a,faust://document/faustedition/2_III_H.66a,2 III H.66a,Witness,,236,194,1824-04-11,,1826-05-19,,1825-04-30,1825.0,1824 … 1826,421
2 III H.80,faust://document/faustedition/2_III_H.80,2 III H.80,Witness,,237,196,1824-04-12,1824-04-12,1824-04-14,1824-04-14,1824-04-13,1824.0,1824,439
1 H.16,faust://document/faustedition/1_H.16,1 H.16,Witness,,238,198,1824-07-30,1824-07-30,1826-07-01,1826-07-01,1825-07-15,1825.0,1824 … 1826,19
2 III H.27 i_v,faust://inscription/faustedition/2_III_H.27/i_v,2 III H.27 i_v,Inscription,2 III H.27,239,202,1824-10-06,1824-10-06,1825-04-06,1825-04-06,1825-01-05,1825.0,1824 … 1825,88
2 III H.49 i_uebrige,faust://inscription/faustedition/2_III_H.49/i_uebrige,2 III H.49 i_uebrige,Inscription,2 III H.49,240,207,1824-11-05,1824-11-05,1825-05-06,1825-05-06,1825-02-04,1825.0,1824 … 1825,72
2 III H.49,faust://document/faustedition/2_III_H.49,2 III H.49,Witness,,241,207,1824-11-05,1824-11-05,1825-04-06,1825-05-06,1825-01-20,1825.0,1824 … 1825,383
H P195,faust://document/faustedition/H_P195,H P195,Witness,,242,218,1825-02-23,1825-02-23,1825-02-26,1825-02-26,1825-02-24,1825.0,1825,635
H P194,faust://document/faustedition/H_P194,H P194,Witness,,243,219,1825-02-23,,1825-03-05,,1825-02-28,1825.0,1825,634
2 V H.4,faust://document/faustedition/2_V_H.4,2 V H.4,Witness,,244,221,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,488
2 V H.3,faust://document/faustedition/2_V_H.3,2 V H.3,Witness,,245,228,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,487
2 V H.15,faust://document/faustedition/2_V_H.15,2 V H.15,Witness,,246,219,1825-02-24,1825-02-24,1825-03-13,1825-03-13,1825-03-04,1825.0,1825,501
2 V H.20,faust://document/faustedition/2_V_H.20,2 V H.20,Witness,,247,219,1825-02-24,1825-02-24,1825-02-27,1825-04-01,1825-02-25,1825.0,1825,508
2 V H.24,faust://document/faustedition/2_V_H.24,2 V H.24,Witness,,248,219,1825-02-24,1825-02-24,1825-03-07,1825-04-01,1825-03-01,1825.0,1825,512
2 V H.27,faust://document/faustedition/2_V_H.27,2 V H.27,Witness,,249,220,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,516
2 V H.28 alpha,faust://inscription/faustedition/2_V_H.28/alpha,2 V H.28 alpha,Inscription,2 V H.28,250,220,1825-02-24,,1825-03-05,,1825-02-28,1825.0,1825,27
2 V H.25,faust://document/faustedition/2_V_H.25,2 V H.25,Witness,,251,222,1825-02-24,1825-02-24,1825-03-05,1825-04-01,1825-02-28,1825.0,1825,513
2 V H.19,faust://document/faustedition/2_V_H.19,2 V H.19,Witness,,252,226,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,507
2 V H.28,faust://document/faustedition/2_V_H.28,2 V H.28,Witness,,253,227,1825-02-24,1825-02-24,1825-03-05,1825-03-05,1825-02-28,1825.0,1825,517
2 V H.29 i_r,faust://inscription/faustedition/2_V_H.29/i_r,2 V H.29 i_r,Inscription,2 V H.29,254,223,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,49
2 V H.29 i_v,faust://inscription/faustedition/2_V_H.29/i_v,2 V H.29 i_v,Inscription,2 V H.29,255,223,1825-02-24,,1825-03-17,,1825-03-06,1825.0,1825,82
2 V H.29,faust://document/faustedition/2_V_H.29,2 V H.29,Witness,,256,225,1825-02-24,1825-02-24,1825-03-17,1825-04-01,1825-03-06,1825.0,1825,518
2 V H.15a i_r_g,faust://inscription/faustedition/2_V_H.15a/i_r_g,2 V H.15a i_r_g,Inscription,2 V H.15a,257,220,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,55
2 III H.5 i_r_r,faust://inscription/faustedition/2_III_H.5/i_r_r,2 III H.5 i_r_r,Inscription,2 III H.5,258,222,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,58
2 III H.5 i_uebrige,faust://inscription/faustedition/2_III_H.5/i_uebrige,2 III H.5 i_uebrige,Inscription,2 III H.5,259,220,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,71
2 V H.4 i_uebrige,faust://inscription/faustedition/2_V_H.4/i_uebrige,2 V H.4 i_uebrige,Inscription,2 V H.4,260,229,1825-02-25,1825-02-25,1825-03-05,1825-04-06,1825-03-01,1825.0,1825,65
2_III_H.8: i_r,faust://document/wa/2_III_H.8/i_r,2_III_H.8: i_r,UnknownRef,,261,221,1825-02-25,,,,1825-02-25,1825.0,1825,106
2 III H.5,faust://document/faustedition/2_III_H.5,2 III H.5,Witness,,262,222,1825-02-25,1825-02-25,1825-04-01,1825-04-06,1825-03-14,1825.0,1825,314
2 III H.8 i_r,faust://inscription/faustedition/2_III_H.8/i_r,2 III H.8 i_r,Inscription,2 III H.8,263,222,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,53
2 III H.30,faust://document/faustedition/2_III_H.30,2 III H.30,Witness,,264,222,1825-02-25,1825-02-25,1825-03-08,1825-03-08,1825-03-02,1825.0,1825,355
2 III H.34,faust://document/faustedition/2_III_H.34,2 III H.34,Witness,,265,223,1825-02-25,1825-02-25,1825-04-01,1825-04-06,1825-03-14,1825.0,1825,360
2 III H.26,faust://document/faustedition/2_III_H.26,2 III H.26,Witness,,266,226,1825-02-25,,1825-04-06,,1825-03-17,1825.0,1825,351
2 III H.32,faust://document/faustedition/2_III_H.32,2 III H.32,Witness,,267,225,1825-02-25,,1825-04-01,,1825-03-14,1825.0,1825,357
2 III H.36,faust://document/faustedition/2_III_H.36,2 III H.36,Witness,,268,220,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,362
2 III H.35,faust://document/faustedition/2_III_H.35,2 III H.35,Witness,,269,223,1825-02-25,1822-09-29,1825-04-06,,1825-03-17,1825.0,1825,361
2 III H.47,faust://document/faustedition/2_III_H.47,2 III H.47,Witness,,270,220,1825-02-25,1825-02-25,1826-03-27,1826-03-27,1825-09-10,1825.0,1825 … 1826,380
